seed,fps,avg_equity,low,middle,high,budget_used_pct,terminated_early,source_path,alloc__high_MaaS_Bundle,alloc__high_bike,alloc__high_car,alloc__high_public,alloc__low_MaaS_Bundle,alloc__low_bike,alloc__low_car,alloc__low_public,alloc__middle_MaaS_Bundle,alloc__middle_bike,alloc__middle_car,alloc__middle_public
0,3500.0,8221.0,26.7396449704142,19.20175438596491,14.548076923076923,92.1155181738601,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[0].kman.restech.unsw.edu.au/seed_0/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
1,3500.0,8208.0,26.59893048128342,18.976744186046513,16.515463917525775,98.42334810680184,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[1].kman.restech.unsw.edu.au/seed_1/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
2,3500.0,7906.0,26.87012987012987,19.292035398230087,12.806451612903226,95.00114203115972,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[2].kman.restech.unsw.edu.au/seed_2/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
3,3500.0,8161.0,27.503030303030304,19.685714285714287,14.961538461538462,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[3].kman.restech.unsw.edu.au/seed_3/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
4,3500.0,7299.0,25.87769784172662,17.824817518248175,10.76923076923077,73.93877170404654,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[4].kman.restech.unsw.edu.au/seed_4/all_results.pkl,0.7029301975605097,0.024191225991462617,0.26454740318701314,0.6106878878677803,0.655658580117267,0.6356134879919336,0.217723838672917,0.5772761278215224,0.4172368828007418,0.24454152129841653,0.09361827438958248,0.3368335600877935
5,3500.0,7542.0,27.938356164383563,14.928571428571429,15.602272727272727,86.3498392897921,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[5].kman.restech.unsw.edu.au/seed_5/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
6,3500.0,7512.0,27.576923076923077,16.735849056603772,14.07843137254902,96.50237367347721,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[6].kman.restech.unsw.edu.au/seed_6/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
7,3500.0,7854.0,32.94776119402985,14.088,13.109375,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[7].kman.restech.unsw.edu.au/seed_7/all_results.pkl,0.28078660186630916,0.09722809915920305,0.18626079566180032,0.5800019275592762,0.44297078094003456,0.2472878068189698,0.3620839261707443,0.48798602007556263,0.6939452055261204,0.3561330497013117,0.5885446057525926,0.382983390847524
8,3500.0,7955.0,26.52980132450331,20.876923076923077,12.60204081632653,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[8].kman.restech.unsw.edu.au/seed_8/all_results.pkl,0.4344988874412261,0.7510006956487612,0.7458898205020112,0.03612027246780077,0.4264908726437545,0.7016575849541377,0.5408741366423904,0.5439504111443368,0.2942520428467542,0.32596106136049424,0.1339712395227363,0.2106411317833517
9,3500.0,8073.0,31.3,15.384615384615385,11.96629213483146,65.83781998448951,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[9].kman.restech.unsw.edu.au/seed_9/all_results.pkl,0.7029301975605097,0.024191225991462617,0.26454740318701314,0.6106878878677803,0.655658580117267,0.6356134879919336,0.217723838672917,0.5772761278215224,0.4172368828007418,0.24454152129841653,0.09361827438958248,0.3368335600877935
10,3500.0,8038.0,29.91275167785235,18.10185185185185,14.017241379310345,98.43697655562823,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[10].kman.restech.unsw.edu.au/seed_10/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
11,3500.0,7729.0,29.134615384615383,16.38167938931298,11.161290322580646,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[11].kman.restech.unsw.edu.au/seed_11/all_results.pkl,0.34461685664758956,0.7339280329097836,0.44696466032725957,0.7638578803278839,0.009651738346604792,0.7233134499494847,0.4435082213743915,0.4739773764414392,0.6870132725702733,0.19302853366273798,0.4044307750870726,0.2643080320533784
12,3500.0,8676.0,32.49333333333333,20.694214876033058,14.263736263736265,85.41238855761719,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[12].kman.restech.unsw.edu.au/seed_12/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
13,3500.0,8261.0,32.450331125827816,14.125,16.570247933884296,74.8721031309279,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[13].kman.restech.unsw.edu.au/seed_13/all_results.pkl,0.6894307303533139,0.36025174910048124,0.08987033872114852,0.5701495997571568,0.757267940174204,0.2820055998464315,0.4438644888194298,0.6881980149207892,0.3517866996602667,0.112683398038617,0.5028912074391578,0.06423859434984729
14,3500.0,8498.0,29.438709677419354,22.695652173913043,13.25,93.59564980362019,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[14].kman.restech.unsw.edu.au/seed_14/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
