fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count,seed,source_path
3500.0,387,21.242894056847547,8221.0,3224.043136085103,92.1155181738601,169,114,104,0,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[0].kman.restech.unsw.edu.au/seed_0/trip_summary_by_fps.csv
3500.0,370,22.183783783783785,8208.0,3444.817183738064,98.42334810680184,187,86,97,1,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[1].kman.restech.unsw.edu.au/seed_1/trip_summary_by_fps.csv
3500.0,391,20.21994884910486,7906.0,3325.03997109059,95.00114203115972,154,113,124,2,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[2].kman.restech.unsw.edu.au/seed_2/trip_summary_by_fps.csv
3500.0,374,21.82085561497326,8161.0,3500.0,100.0,165,105,104,3,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[3].kman.restech.unsw.edu.au/seed_3/trip_summary_by_fps.csv
3500.0,393,18.572519083969464,7299.0,2587.857009641629,73.93877170404654,139,137,117,4,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[4].kman.restech.unsw.edu.au/seed_4/trip_summary_by_fps.csv
3500.0,374,20.16577540106952,7542.0,3022.244375142724,86.3498392897921,146,140,88,5,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[5].kman.restech.unsw.edu.au/seed_5/trip_summary_by_fps.csv
3500.0,364,20.63736263736264,7512.0,3377.583078571702,96.5023736734772,156,106,102,6,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[6].kman.restech.unsw.edu.au/seed_6/trip_summary_by_fps.csv
3500.0,387,20.294573643410853,7854.0,3500.0,100.0,134,125,128,7,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[7].kman.restech.unsw.edu.au/seed_7/trip_summary_by_fps.csv
3500.0,379,20.98944591029024,7955.0,3500.0,100.0,151,130,98,8,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[8].kman.restech.unsw.edu.au/seed_8/trip_summary_by_fps.csv
3500.0,379,21.30079155672823,8073.0,2304.323699457133,65.83781998448951,160,130,89,9,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[9].kman.restech.unsw.edu.au/seed_9/trip_summary_by_fps.csv
3500.0,373,21.549597855227884,8038.0,3445.2941794469884,98.43697655562823,149,108,116,10,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[10].kman.restech.unsw.edu.au/seed_10/trip_summary_by_fps.csv
3500.0,380,20.339473684210525,7729.0,3500.0,100.0,156,131,93,11,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[11].kman.restech.unsw.edu.au/seed_11/trip_summary_by_fps.csv
3500.0,362,23.96685082872928,8676.0,2989.4335995166016,85.41238855761719,150,121,91,12,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[12].kman.restech.unsw.edu.au/seed_12/trip_summary_by_fps.csv
3500.0,368,22.44836956521739,8261.0,2620.5236095824766,74.8721031309279,151,96,121,13,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[13].kman.restech.unsw.edu.au/seed_13/trip_summary_by_fps.csv
3500.0,370,22.967567567567567,8498.0,3275.8477431267065,93.5956498036202,155,115,100,14,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[14].kman.restech.unsw.edu.au/seed_14/trip_summary_by_fps.csv
3500.0,364,18.167582417582416,6613.0,3078.609152914696,87.96026151184844,169,114,81,15,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[15].kman.restech.unsw.edu.au/seed_15/trip_summary_by_fps.csv
3500.0,389,18.688946015424165,7270.0,2805.2650003854023,80.15042858244007,173,96,120,16,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[16].kman.restech.unsw.edu.au/seed_16/trip_summary_by_fps.csv
3500.0,367,20.67029972752044,7586.0,3213.1150456294195,91.80328701798342,165,101,101,17,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[17].kman.restech.unsw.edu.au/seed_17/trip_summary_by_fps.csv
3500.0,367,19.779291553133515,7259.0,3500.0,100.0,155,123,89,18,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[18].kman.restech.unsw.edu.au/seed_18/trip_summary_by_fps.csv
3500.0,391,19.63682864450128,7678.0,3500.0,100.0,175,125,91,19,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[19].kman.restech.unsw.edu.au/seed_19/trip_summary_by_fps.csv
3500.0,400,17.8525,7141.0,3356.5116800642663,95.9003337161219,176,119,105,20,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[20].kman.restech.unsw.edu.au/seed_20/trip_summary_by_fps.csv
3500.0,375,21.856,8196.0,3447.463848365573,98.49896709615923,147,143,85,21,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[21].kman.restech.unsw.edu.au/seed_21/trip_summary_by_fps.csv
3500.0,376,22.675531914893615,8526.0,2188.057635135959,62.515932432455976,142,140,94,22,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[22].kman.restech.unsw.edu.au/seed_22/trip_summary_by_fps.csv
3500.0,389,19.44987146529563,7566.0,3466.1944695335737,99.03412770095925,158,145,86,23,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[23].kman.restech.unsw.edu.au/seed_23/trip_summary_by_fps.csv
3500.0,379,21.229551451187334,8046.0,3500.0,100.0,180,95,104,24,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[24].kman.restech.unsw.edu.au/seed_24/trip_summary_by_fps.csv
3500.0,378,21.11640211640212,7982.0,3500.0,100.0,142,115,121,25,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[25].kman.restech.unsw.edu.au/seed_25/trip_summary_by_fps.csv
3500.0,376,22.93882978723404,8625.0,3500.0,100.0,137,105,134,26,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[26].kman.restech.unsw.edu.au/seed_26/trip_summary_by_fps.csv
3500.0,362,20.38950276243094,7381.0,3397.539364448216,97.072553269949,162,95,105,27,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[27].kman.restech.unsw.edu.au/seed_27/trip_summary_by_fps.csv
3500.0,364,21.53021978021978,7837.0,3424.266461442462,97.83618461264176,155,129,80,28,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[28].kman.restech.unsw.edu.au/seed_28/trip_summary_by_fps.csv
3500.0,393,19.201017811704837,7546.0,3500.0,100.0,167,107,119,29,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[29].kman.restech.unsw.edu.au/seed_29/trip_summary_by_fps.csv
