fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,7729.0,20.339473684210525,380,4545.0,156,29.134615384615383,58.80450252296545,2146.0,131,16.38167938931298,27.76555828697115,1038.0,93,11.161290322580646,13.429939190063397,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,3128.0,213,40.47095355155906,1778.0,17,23.00426963384655,780.0,61,10.091861819122784,771.0,18,9.975417259671367,643.0,14,8.319316858584552,629.0,57,8.138180877215682,,,
4500.0,8676.0,23.96685082872928,362,4874.0,150,32.49333333333333,56.177962194559704,2504.0,121,20.694214876033058,28.861226371599813,1298.0,91,14.263736263736265,14.96081143384048,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3223.0,209,37.14845550945136,2935.0,24,33.82895343476257,623.0,53,7.180728446288612,658.0,11,7.584140156754264,603.0,12,6.950207468879668,634.0,53,7.307514983863532,,,
5500.0,8005.0,21.46112600536193,373,4324.0,151,28.635761589403973,54.0162398500937,2352.0,107,21.981308411214954,29.38163647720175,1329.0,115,11.556521739130435,16.60212367270456,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,3103.0,193,38.7632729544035,2331.0,23,29.11930043722673,833.0,74,10.405996252342288,498.0,8,6.221111805121799,493.0,9,6.158650843222985,747.0,66,9.3316677076827,,,
6500.0,8399.0,21.20959595959596,396,4593.0,163,28.177914110429448,54.68508155732825,2559.0,118,21.6864406779661,30.46791284676747,1247.0,115,10.843478260869565,14.847005595904275,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3331.0,205,39.659483271818075,2403.0,20,28.610548874866055,766.0,75,9.120133349208238,527.0,13,6.274556494820812,594.0,12,7.072270508393856,764.0,70,9.09632099059412,14.0,1.0,0.16668651029884513
7000.0,7846.0,20.326424870466322,386,3716.0,137,27.124087591240876,47.36171297476421,2438.0,131,18.610687022900763,31.073158297221514,1692.0,118,14.338983050847459,21.565128728014272,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3565.0,221,45.43716543461637,1429.0,12,18.213102217690544,743.0,65,9.469793525363242,617.0,10,7.863879683915371,699.0,13,8.908998215651287,776.0,64,9.890390007647207,17.0,1.0,0.21667091511598266
7500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,567.0,55,8.574020867987297,568.0,10,8.589142597913202,466.0,11,7.046726145471043,635.0,53,9.602298502948738,52.0,3.0,0.7863299561469831
8000.0,7215.0,19.18882978723404,376,3857.0,166,23.234939759036145,53.458073458073464,1811.0,113,16.02654867256637,25.1004851004851,1547.0,97,15.948453608247423,21.44144144144144,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3846.0,218,53.305613305613306,572.0,7,7.927927927927928,837.0,70,11.6008316008316,711.0,10,9.854469854469855,561.0,14,7.775467775467776,674.0,56,9.341649341649342,14.0,1.0,0.19404019404019404
8500.0,7493.0,19.615183246073297,382,3871.0,153,25.30065359477124,51.66155078072868,2326.0,136,17.102941176470587,31.042306152408916,1296.0,93,13.935483870967742,17.296143066862406,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3385.0,200,45.17549713065528,1561.0,18,20.832777258774858,831.0,76,11.09035099426131,457.0,11,6.099025757373549,501.0,9,6.686240491125051,758.0,68,10.116108367809955,,,
9000.0,6732.0,17.440414507772022,386,3781.0,169,22.37278106508876,56.164587046939985,1918.0,108,17.75925925925926,28.49079025549614,1033.0,109,9.477064220183486,15.344622697563873,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3352.0,226,49.79203802733215,434.0,7,6.446821152703505,762.0,67,11.319073083778965,640.0,10,9.506833036244801,688.0,12,10.219845513963161,742.0,61,11.021984551396317,114.0,3.0,1.6934046345811051
9500.0,7545.0,19.75130890052356,382,4787.0,184,26.016304347826086,63.44599072233267,1490.0,102,14.607843137254902,19.748177601060306,1268.0,96,13.208333333333334,16.805831676607024,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3377.0,220,44.75811795891318,1583.0,15,20.98078197481776,788.0,62,10.444002650762094,504.0,13,6.679920477137177,550.0,10,7.289595758780649,743.0,62,9.847581179589133,,,
10000.0,7910.0,20.761154855643046,381,3694.0,166,22.253012048192772,46.70037926675094,2317.0,99,23.404040404040405,29.292035398230087,1899.0,116,16.370689655172413,24.007585335018963,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,2584.0,194,32.66750948166877,2416.0,24,30.54361567635904,875.0,72,11.061946902654867,574.0,12,7.256637168141593,663.0,12,8.381795195954487,798.0,67,10.08849557522124,,,
