fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8498.0,22.967567567567567,370,4563.0,155,29.438709677419354,53.69498705577783,2610.0,115,22.695652173913043,30.71310896681572,1325.0,100,13.25,15.59190397740645,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3576.0,204,42.08048952694752,2341.0,23,27.547658272534715,786.0,71,9.249235114144504,631.0,12,7.425276535655448,600.0,49,7.060484819957637,551.0,10,6.483878559661097,13.0,1.0,0.15297717109908215
4500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,567.0,55,8.574020867987297,466.0,11,7.046726145471043,635.0,53,9.602298502948738,568.0,10,8.589142597913202,52.0,3.0,0.7863299561469831
5500.0,7493.0,19.615183246073297,382,3871.0,153,25.30065359477124,51.66155078072868,2326.0,136,17.102941176470587,31.042306152408916,1296.0,93,13.935483870967742,17.296143066862406,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3385.0,200,45.17549713065528,1561.0,18,20.832777258774858,831.0,76,11.09035099426131,501.0,9,6.686240491125051,758.0,68,10.116108367809955,457.0,11,6.099025757373549,,,
6500.0,7545.0,19.75130890052356,382,4787.0,184,26.016304347826086,63.44599072233267,1490.0,102,14.607843137254902,19.748177601060306,1268.0,96,13.208333333333334,16.805831676607024,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3377.0,220,44.75811795891318,1583.0,15,20.98078197481776,788.0,62,10.444002650762094,550.0,10,7.289595758780649,743.0,62,9.847581179589133,504.0,13,6.679920477137177,,,
7000.0,7910.0,20.761154855643046,381,3694.0,166,22.253012048192772,46.70037926675094,2317.0,99,23.404040404040405,29.292035398230087,1899.0,116,16.370689655172413,24.007585335018963,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,2584.0,194,32.66750948166877,2416.0,24,30.54361567635904,875.0,72,11.061946902654867,663.0,12,8.381795195954487,798.0,67,10.08849557522124,574.0,12,7.256637168141593,,,
7500.0,7129.0,19.42506811989101,367,3788.0,155,24.438709677419354,53.135082059194836,1950.0,123,15.853658536585366,27.353064945995232,1391.0,89,15.629213483146067,19.51185299480993,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3806.0,215,53.38757188946557,759.0,12,10.646654509748913,684.0,59,9.594613550287558,623.0,12,8.738953569925656,689.0,57,9.66474961425165,533.0,10,7.476504418572031,35.0,2.0,0.49095244774863234
8000.0,7300.0,20.0,365,4271.0,170,25.123529411764707,58.506849315068486,1794.0,114,15.736842105263158,24.575342465753426,1235.0,81,15.246913580246913,16.91780821917808,19.1%,47.6%,66.4%,54.1%,14.7%,67.0%,54.0%,66.0%,31.9%,56.2%,19.3%,49.9%,3084.0,189,42.24657534246575,1949.0,26,26.698630136986303,856.0,78,11.726027397260275,92.0,3,1.2602739726027399,679.0,60,9.301369863013699,640.0,9,8.767123287671232,,,
8500.0,7611.0,19.465473145780052,391,3997.0,175,22.84,52.516095125476284,2220.0,125,17.76,29.168309026409144,1394.0,91,15.31868131868132,18.315595848114572,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3818.0,230,50.164235974247795,1051.0,13,13.808960714754958,723.0,68,9.499408750492707,591.0,12,7.765076862435947,696.0,56,9.144659046117463,681.0,10,8.947575877020103,51.0,2.0,0.6700827749310209
9000.0,7573.0,19.876640419947506,381,4009.0,150,26.726666666666667,52.93806945728245,2293.0,136,16.860294117647058,30.278621418196224,1271.0,95,13.378947368421052,16.783309124521324,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,3212.0,194,42.413838637263964,1641.0,19,21.669087547867424,903.0,83,11.923940314274397,522.0,12,6.8929090188828726,754.0,63,9.956424138386373,541.0,10,7.14380034332497,,,
9500.0,7141.0,17.8525,400,3775.0,176,21.448863636363637,52.86374457358913,2114.0,119,17.764705882352942,29.603696961209913,1252.0,105,11.923809523809524,17.532558465200953,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3698.0,234,51.785464220697385,843.0,9,11.805069318022685,716.0,65,10.026606917798627,659.0,13,9.228399383839799,693.0,69,9.704523176025766,532.0,10,7.44993698361574,,,
