fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,7678.0,19.63682864450128,391,4064.0,175,23.222857142857144,52.93045063818703,2220.0,125,17.76,28.913779630112007,1394.0,91,15.31868131868132,18.155769731700964,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3825.0,231,49.817660849179475,1125.0,14,14.652253190935138,709.0,66,9.23417556655379,696.0,56,9.064860640791874,681.0,10,8.869497264912738,591.0,12,7.697317009637926,51.0,2.0,0.6642354779890596
4500.0,7141.0,17.8525,400,3775.0,176,21.448863636363637,52.86374457358913,2114.0,119,17.764705882352942,29.603696961209913,1252.0,105,11.923809523809524,17.532558465200953,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3698.0,234,51.785464220697385,843.0,9,11.805069318022685,716.0,65,10.026606917798627,693.0,69,9.704523176025766,532.0,10,7.44993698361574,659.0,13,9.228399383839799,,,
5500.0,7816.0,20.898395721925134,374,4413.0,154,28.655844155844157,56.461105424769706,1940.0,135,14.37037037037037,24.82088024564995,1463.0,85,17.211764705882352,18.71801432958035,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3315.0,201,42.412998976458546,1572.0,15,20.112589559877176,866.0,77,11.079836233367452,722.0,59,9.237461617195496,484.0,10,6.1924257932446265,857.0,12,10.964687819856705,,,
6500.0,7175.0,19.71153846153846,364,3996.0,176,22.704545454545453,55.69337979094077,2088.0,86,24.27906976744186,29.10104529616725,1091.0,102,10.696078431372548,15.205574912891986,32.1%,62.4%,59.0%,60.4%,57.0%,8.4%,78.0%,78.0%,55.4%,71.8%,28.3%,73.3%,3447.0,190,48.041811846689896,1644.0,17,22.912891986062718,789.0,74,10.99651567944251,718.0,70,10.006968641114982,360.0,7,5.017421602787456,187.0,5,2.6062717770034842,30.0,1.0,0.4181184668989547
7000.0,7367.0,17.375,424,4496.0,199,22.592964824120603,61.0289127188815,1715.0,104,16.490384615384617,23.279489615854487,1156.0,121,9.553719008264462,15.691597665264014,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3216.0,234,43.65413329713588,1094.0,14,14.850006787023212,799.0,77,10.845663092167774,714.0,68,9.69186914619248,769.0,16,10.438441699470612,684.0,12,9.284647753495317,91.0,3.0,1.2352382245147278
7500.0,7533.0,18.239709443099272,413,4170.0,178,23.426966292134832,55.356431700517724,2026.0,119,17.025210084033613,26.894995353776718,1337.0,116,11.525862068965518,17.74857294570556,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3769.0,238,50.03318730917298,791.0,7,10.500464622328423,803.0,72,10.659763706358689,739.0,71,9.8101685915306,586.0,10,7.779105270144697,763.0,12,10.128766759591132,82.0,3.0,1.08854374087349
8000.0,7700.0,20.20997375328084,381,4501.0,182,24.73076923076923,58.45454545454546,2118.0,112,18.910714285714285,27.506493506493506,1081.0,87,12.425287356321839,14.03896103896104,58.7%,45.2%,17.7%,23.3%,65.6%,11.7%,13.0%,16.9%,61.7%,42.0%,36.1%,27.1%,2860.0,197,37.142857142857146,2017.0,22,26.19480519480519,798.0,73,10.363636363636363,758.0,65,9.844155844155845,647.0,11,8.402597402597403,620.0,13,8.051948051948052,,,
8500.0,7657.0,20.203166226912927,379,3853.0,179,21.52513966480447,50.31996865613164,2164.0,100,21.64,28.26172130077054,1640.0,100,16.4,21.41831004309782,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3952.0,215,51.61290322580645,807.0,11,10.539375734621913,765.0,68,9.990858038396238,686.0,62,8.959122371686039,676.0,10,8.828522920203735,771.0,13,10.069217709285622,,,
9000.0,7849.0,18.86778846153846,416,3649.0,169,21.59171597633136,46.489998725952354,2124.0,144,14.75,27.060772072875526,2076.0,103,20.155339805825243,26.449229201172127,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,3472.0,224,44.23493438654605,1274.0,15,16.231367053127787,952.0,75,12.128933622117467,873.0,80,11.122435979105619,577.0,10,7.351254936934641,674.0,11,8.587081156835266,27.0,1.0,0.3439928653331635
9500.0,7836.0,20.73015873015873,378,4101.0,142,28.880281690140844,52.33537519142419,2051.0,115,17.83478260869565,26.174068402246043,1684.0,121,13.917355371900827,21.490556406329762,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3624.0,210,46.248085758039814,1377.0,13,17.572741194486984,819.0,66,10.451761102603369,726.0,65,9.264931087289433,555.0,10,7.082695252679939,727.0,13,9.277692700357324,8.0,1.0,0.10209290454313426
