fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8526.0,22.675531914893618,376,5344.0,142,37.63380281690141,62.678864649308,1908.0,140,13.628571428571428,22.37860661505982,1274.0,94,13.553191489361701,14.942528735632186,11.5%,17.7%,29.4%,47.2%,17.1%,33.4%,24.4%,52.2%,43.4%,5.9%,1.9%,38.3%,3542.0,35,41.54351395730706,3168.0,210,37.15693173821253,698.0,63,8.186722965048087,694.0,59,8.139807647196811,392.0,7,4.597701149425287,32.0,2,0.37532254281022753,,,
4500.0,7566.0,19.44987146529563,389,3965.0,158,25.09493670886076,52.40549828178695,2459.0,145,16.958620689655174,32.50066085117631,1142.0,86,13.279069767441861,15.093840867036743,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,1066.0,12,14.0893470790378,3740.0,214,49.43166798836902,737.0,67,9.740946338884484,751.0,72,9.92598466825271,513.0,11,6.780333068992863,759.0,13,10.031720856463124,,,
5500.0,7657.0,20.203166226912927,379,3853.0,179,21.52513966480447,50.31996865613164,2164.0,100,21.64,28.26172130077054,1640.0,100,16.4,21.41831004309782,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,807.0,11,10.539375734621913,3952.0,215,51.61290322580645,765.0,68,9.990858038396238,686.0,62,8.959122371686039,676.0,10,8.828522920203735,771.0,13,10.069217709285622,,,
6500.0,7836.0,20.73015873015873,378,4101.0,142,28.880281690140844,52.33537519142419,2051.0,115,17.83478260869565,26.174068402246043,1684.0,121,13.917355371900827,21.490556406329762,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,1377.0,13,17.572741194486984,3624.0,210,46.248085758039814,819.0,66,10.451761102603369,726.0,65,9.264931087289433,555.0,10,7.082695252679939,727.0,13,9.277692700357324,8.0,1.0,0.10209290454313426
7000.0,7315.0,19.35185185185185,378,4220.0,175,24.114285714285714,57.68967874231032,1944.0,114,17.05263157894737,26.575529733424467,1151.0,89,12.932584269662922,15.73479152426521,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,963.0,9,13.16473000683527,3826.0,226,52.30348598769652,753.0,61,10.293916609706082,738.0,62,10.088858509911141,608.0,10,8.311688311688311,427.0,10,5.837320574162679,,,
7500.0,7833.0,21.758333333333333,360,4243.0,167,25.407185628742514,54.16826247925444,2347.0,129,18.1937984496124,29.96297714796374,1243.0,64,19.421875,15.868760372781821,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,1402.0,14,17.89863398442487,3340.0,187,42.64011234520618,878.0,71,11.20898761649432,813.0,66,10.379165070854079,741.0,10,9.459977020298735,659.0,12,8.413123962721818,,,
8000.0,7542.0,19.093670886075948,395,3915.0,158,24.77848101265823,51.90930787589498,2080.0,160,13.0,27.578891540705385,1547.0,77,20.09090909090909,20.511800583399626,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,1373.0,15,18.20472023335985,3422.0,213,45.372580217448956,906.0,83,12.012728719172634,710.0,61,9.413948554760012,502.0,10,6.656059400689472,629.0,13,8.33996287456908,,,
8500.0,7213.0,18.0325,400,4481.0,199,22.517587939698494,62.12394288090947,1590.0,121,13.140495867768594,22.04353251074449,1142.0,80,14.275,15.832524608346041,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,1452.0,15,20.130320255094965,3084.0,209,42.75613475668931,974.0,83,13.503396644946625,847.0,74,11.742686815472064,437.0,10,6.058505476223485,389.0,8,5.393040343823651,30.0,1.0,0.41591570774989606
9000.0,7425.0,19.386422976501304,383,4078.0,182,22.406593406593405,54.92255892255892,2067.0,111,18.62162162162162,27.83838383838384,1280.0,90,14.222222222222221,17.23905723905724,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,1576.0,15,21.225589225589225,2991.0,201,40.282828282828284,833.0,76,11.218855218855218,779.0,66,10.491582491582491,570.0,10,7.6767676767676765,612.0,13,8.242424242424242,64.0,2.0,0.8619528619528619
9500.0,7562.0,19.79581151832461,382,4221.0,150,28.14,55.8185665167945,2057.0,129,15.945736434108527,27.20179846601428,1284.0,103,12.466019417475728,16.97963501719122,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,1235.0,13,16.331658291457288,3808.0,225,50.35704839989421,766.0,64,10.129595345146788,642.0,55,8.48981750859561,504.0,9,6.66490346469188,558.0,13,7.379000264480297,49.0,3.0,0.6479767257339328
10000.0,7403.0,19.430446194225723,381,4182.0,184,22.72826086956522,56.49061191408889,2156.0,118,18.271186440677965,29.123328380386333,1065.0,79,13.481012658227849,14.386059705524787,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,1271.0,12,17.168715385654465,3659.0,220,49.42590841550722,713.0,72,9.631230582196407,683.0,56,9.22598946373092,445.0,10,6.01107659057139,632.0,11,8.537079562339592,,,
15000.0,7149.0,17.394160583941606,411,2420.0,154,15.714285714285714,33.85088823611694,3259.0,135,24.14074074074074,45.58679535599385,1470.0,122,12.049180327868852,20.562316407889213,39.8%,79.2%,31.0%,64.2%,25.6%,21.4%,2.3%,45.1%,34.8%,53.6%,17.0%,58.9%,1268.0,14,17.736746398097637,2932.0,211,41.01272905301441,950.0,84,13.288571828227724,813.0,80,11.372219890893831,593.0,10,8.2948664148832,593.0,12,8.2948664148832,,,
