fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,7566.0,19.44987146529563,389,3965.0,158,25.09493670886076,52.40549828178695,2459.0,145,16.958620689655174,32.50066085117631,1142.0,86,13.279069767441861,15.093840867036743,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3740.0,214,49.43166798836902,1066.0,12,14.0893470790378,759.0,13,10.031720856463124,751.0,72,9.92598466825271,737.0,67,9.740946338884484,513.0,11,6.780333068992863,,,
4500.0,7657.0,20.203166226912927,379,3853.0,179,21.52513966480447,50.31996865613164,2164.0,100,21.64,28.26172130077054,1640.0,100,16.4,21.41831004309782,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3952.0,215,51.61290322580645,807.0,11,10.539375734621913,771.0,13,10.069217709285622,686.0,62,8.959122371686039,765.0,68,9.990858038396238,676.0,10,8.828522920203735,,,
5500.0,7836.0,20.73015873015873,378,4101.0,142,28.880281690140844,52.33537519142419,2051.0,115,17.83478260869565,26.174068402246043,1684.0,121,13.917355371900827,21.490556406329762,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3624.0,210,46.248085758039814,1377.0,13,17.572741194486984,727.0,13,9.277692700357324,726.0,65,9.264931087289433,819.0,66,10.451761102603369,555.0,10,7.082695252679939,8.0,1.0,0.10209290454313426
6500.0,8443.0,20.846913580246913,405,4046.0,147,27.523809523809526,47.92135496861305,2793.0,105,26.6,33.08065853369656,1604.0,153,10.483660130718954,18.997986497690395,32.1%,62.4%,59.0%,60.4%,57.0%,8.4%,78.0%,78.0%,55.4%,71.8%,28.3%,73.3%,3471.0,219,41.110979509652964,2133.0,21,25.263531919933673,504.0,12,5.969442141418927,791.0,70,9.368707805282481,871.0,71,10.316238303920407,651.0,11,7.710529432666114,22.0,1.0,0.26057088712542936
7000.0,7542.0,19.093670886075948,395,3915.0,158,24.77848101265823,51.90930787589498,2080.0,160,13.0,27.578891540705385,1547.0,77,20.09090909090909,20.511800583399626,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3422.0,213,45.372580217448956,1373.0,15,18.20472023335985,629.0,13,8.33996287456908,710.0,61,9.413948554760012,906.0,83,12.012728719172634,502.0,10,6.656059400689472,,,
7500.0,7381.0,20.38950276243094,362,4176.0,162,25.77777777777778,56.57769949871291,1686.0,95,17.74736842105263,22.842433274624035,1519.0,105,14.466666666666667,20.579867226663055,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3637.0,202,49.27516596667118,985.0,12,13.345075193063272,700.0,12,9.483809781872376,717.0,61,9.714130876574991,785.0,65,10.63541525538545,557.0,10,7.546402926432733,,,
8000.0,7425.0,19.386422976501304,383,4078.0,182,22.406593406593405,54.92255892255892,2067.0,111,18.62162162162162,27.83838383838384,1280.0,90,14.222222222222221,17.23905723905724,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,2991.0,201,40.282828282828284,1576.0,15,21.225589225589225,612.0,13,8.242424242424242,779.0,66,10.491582491582491,833.0,76,11.218855218855218,570.0,10,7.6767676767676765,64.0,2.0,0.8619528619528619
8500.0,7562.0,19.79581151832461,382,4221.0,150,28.14,55.8185665167945,2057.0,129,15.945736434108527,27.20179846601428,1284.0,103,12.466019417475728,16.97963501719122,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3808.0,225,50.35704839989421,1235.0,13,16.331658291457288,558.0,13,7.379000264480297,642.0,55,8.48981750859561,766.0,64,10.129595345146788,504.0,9,6.66490346469188,49.0,3.0,0.6479767257339328
9000.0,7403.0,19.430446194225723,381,4182.0,184,22.72826086956522,56.49061191408889,2156.0,118,18.271186440677965,29.123328380386333,1065.0,79,13.481012658227849,14.386059705524787,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3659.0,220,49.42590841550722,1271.0,12,17.168715385654465,632.0,11,8.537079562339592,683.0,56,9.22598946373092,713.0,72,9.631230582196407,445.0,10,6.01107659057139,,,
9500.0,6786.0,17.625974025974028,385,2993.0,163,18.36196319018405,44.10551134689066,2095.0,108,19.39814814814815,30.872384320660185,1698.0,114,14.894736842105264,25.022104332449157,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%,3385.0,213,49.88211022693781,645.0,7,9.504862953138815,608.0,12,8.959622752726201,821.0,68,12.098437960506926,772.0,75,11.376363100501031,555.0,10,8.178603006189213,,,
