fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,364,21.53021978021978,7837.0,3424.266461442462,97.83618461264177,155,129,80
4500.0,385,17.625974025974028,6786.0,4212.1507788452745,93.6033506410061,163,108,114
5500.0,401,20.13715710723192,8075.0,5500.0,100.0,157,145,99
6500.0,404,18.98267326732673,7669.0,4914.547719511179,75.60842645401814,167,116,121
7000.0,373,20.487935656836463,7642.0,3327.7965713462468,47.5399510192321,155,131,87
7500.0,379,19.522427440633244,7399.0,3360.6223228592617,44.80829763812349,153,133,93
8000.0,373,20.487935656836463,7642.0,5936.856634001779,74.21070792502223,132,122,119
8500.0,396,17.411616161616163,6895.0,3157.051819134903,37.14178610746944,166,117,113
9000.0,411,17.394160583941606,7149.0,5826.283211762779,64.73648013069754,154,135,122
9500.0,408,19.50980392156863,7960.0,6559.803900123195,69.05056736971784,140,174,94
10000.0,404,19.871287128712872,8028.0,5580.173572583357,55.80173572583357,162,139,103
15000.0,396,19.13888888888889,7579.0,7085.754956715892,47.23836637810595,159,136,101
