fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8161.0,21.82085561497326,374,4538.0,165,27.503030303030304,55.6059306457542,2067.0,105,19.685714285714287,25.32777845852224,1556.0,104,14.961538461538462,19.066290895723565,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3630.0,207,44.47984315647592,1644.0,15,20.144590123759343,773.0,12,9.47187844626884,762.0,11,9.337091042764367,751.0,68,9.202303639259894,591.0,60,7.24175958828575,10.0,1.0,0.12253400318588407
4500.0,7299.0,18.572519083969464,393,3597.0,139,25.87769784172662,49.28072338676531,2442.0,137,17.824817518248175,33.456637895602135,1260.0,117,10.76923076923077,17.26263871763255,63.6%,21.8%,65.6%,57.7%,24.5%,9.4%,41.7%,33.7%,2.4%,26.5%,70.3%,61.1%,3232.0,230,44.28003836141937,1507.0,20,20.646663926565285,610.0,13,8.357309220441156,540.0,10,7.398273736128237,737.0,64,10.097273599123167,673.0,56,9.220441156322783,,,
5500.0,7542.0,20.165775401069517,374,4079.0,146,27.938356164383563,54.08379740121983,2090.0,140,14.928571428571429,27.711482365420316,1373.0,88,15.602272727272727,18.20472023335985,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3277.0,219,43.45001325908247,1636.0,15,21.691858923362503,563.0,12,7.464863431450544,689.0,10,9.135507822858658,652.0,56,8.644921771413419,686.0,61,9.095730575444179,39.0,1.0,0.5171042163882259
6500.0,7512.0,20.63736263736264,364,4302.0,156,27.576923076923077,57.26837060702875,1774.0,106,16.735849056603772,23.615548455804046,1436.0,102,14.07843137254902,19.116080937167197,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3765.0,213,50.11980830670927,1204.0,11,16.02768903088392,619.0,12,8.240149094781684,591.0,11,7.867412140575079,664.0,60,8.839190628328009,669.0,57,8.905750798722046,,,
7000.0,7839.0,19.795454545454547,396,3820.0,170,22.470588235294116,48.730705447123356,2517.0,137,18.37226277372263,32.10868733256793,1502.0,89,16.876404494382022,19.160607220308712,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,2664.0,206,33.98392652123995,2168.0,21,27.656588850618704,718.0,13,9.159331547391249,596.0,10,7.6030105880852155,907.0,75,11.570353361398137,786.0,71,10.026789131266742,,,
7500.0,7437.0,19.519685039370078,381,4210.0,153,27.516339869281047,56.60884765362377,2138.0,131,16.3206106870229,28.748151136210836,1089.0,97,11.22680412371134,14.64300121016539,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3220.0,207,43.29702837165524,1217.0,14,16.3641253193492,706.0,12,9.493075164716956,602.0,10,8.094661826005108,862.0,71,11.590695172784725,733.0,64,9.856124781497916,97.0,3.0,1.3042893639908566
8000.0,7434.0,18.964285714285715,392,3886.0,157,24.751592356687897,52.27333871401668,2128.0,137,15.532846715328468,28.625235404896422,1420.0,98,14.489795918367347,19.101425881086897,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,3376.0,206,45.41296744686576,1337.0,15,17.984934086629,463.0,14,6.2281409739036855,602.0,10,8.097928436911488,899.0,77,12.09308582189938,757.0,70,10.182943233790692,,,
8500.0,8084.0,22.208791208791208,364,4350.0,140,31.071428571428573,53.80999505195447,2142.0,106,20.20754716981132,26.496783770410687,1592.0,118,13.491525423728813,19.693221177634832,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3791.0,194,46.8951014349332,1267.0,14,15.672934190994559,805.0,12,9.95794161306284,727.0,10,8.993072736269173,724.0,65,8.955962394854032,734.0,68,9.079663532904503,36.0,1.0,0.4453240969816922
9000.0,7632.0,21.681818181818183,352,4339.0,146,29.71917808219178,56.852725366876314,2083.0,119,17.50420168067227,27.292976939203356,1210.0,87,13.908045977011493,15.854297693920335,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3325.0,189,43.566561844863735,1600.0,16,20.964360587002094,668.0,13,8.752620545073375,607.0,11,7.953354297693921,749.0,67,9.813941299790356,683.0,56,8.94916142557652,,,
9500.0,8073.0,21.30079155672823,379,5008.0,160,31.3,62.03394029480987,2000.0,130,15.384615384615385,24.773937817416076,1065.0,89,11.96629213483146,13.19212188777406,63.6%,21.8%,65.6%,57.7%,24.5%,9.4%,41.7%,33.7%,2.4%,26.5%,70.3%,61.1%,2879.0,212,35.662083488170445,2621.0,28,32.46624550972377,728.0,12,9.017713365539452,484.0,12,5.995292951814691,679.0,56,8.41075188901276,682.0,59,8.447912795738882,,,
10000.0,7978.0,20.561855670103093,388,3757.0,136,27.625,47.09200300827275,2584.0,132,19.575757575757574,32.389069942341436,1637.0,120,13.641666666666667,20.51892704938581,63.6%,21.8%,65.6%,57.7%,24.5%,9.4%,41.7%,33.7%,2.4%,26.5%,70.3%,61.1%,3503.0,220,43.908247681123086,1985.0,20,24.880922536976684,558.0,13,6.994234143895713,468.0,11,5.866131862622211,684.0,63,8.573577337678616,780.0,61,9.776886437703686,,,
15000.0,7804.0,18.89588377723971,413,3966.0,124,31.983870967741936,50.82009226037929,2055.0,169,12.159763313609467,26.332649923116353,1783.0,120,14.858333333333333,22.847257816504356,65.7%,42.7%,67.7%,64.9%,39.9%,79.1%,70.2%,72.9%,2.5%,18.8%,76.3%,41.8%,3203.0,211,41.043054843669914,1378.0,16,17.657611481291646,724.0,14,9.277293695540749,655.0,11,8.393131727319323,990.0,87,12.685802152742184,817.0,72,10.468990261404407,37.0,2.0,0.47411583803177854
