fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8046.0,21.229551451187334,379,4279.0,180,23.772222222222222,53.18170519512802,2115.0,95,22.263157894736842,26.286353467561526,1652.0,104,15.884615384615385,20.531941337310464,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3969.0,216,49.328859060402685,1256.0,16,15.610241113596818,771.0,13,9.582401193139448,748.0,67,9.296544867014665,676.0,10,8.401690280884912,626.0,57,7.7802634849614725,,,
4500.0,7836.0,20.73015873015873,378,4101.0,142,28.880281690140844,52.33537519142419,2051.0,115,17.83478260869565,26.174068402246043,1684.0,121,13.917355371900827,21.490556406329762,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3624.0,210,46.248085758039814,1377.0,13,17.572741194486984,727.0,13,9.277692700357324,819.0,66,10.451761102603369,555.0,10,7.082695252679939,726.0,65,9.264931087289433,8.0,1.0,0.10209290454313426
5500.0,8549.0,22.147668393782382,386,4259.0,134,31.78358208955224,49.81869224470699,2491.0,173,14.398843930635838,29.137910866768042,1799.0,79,22.772151898734176,21.043396888524974,77.3%,51.2%,75.5%,70.3%,39.0%,62.2%,32.6%,5.6%,67.8%,25.4%,48.2%,57.7%,3053.0,201,35.71177915545678,2604.0,23,30.459702889226808,623.0,12,7.287402035325768,864.0,77,10.106445198268803,639.0,12,7.474558427886302,719.0,59,8.410340390688969,47.0,2.0,0.5497719031465669
6500.0,7381.0,20.38950276243094,362,4176.0,162,25.77777777777778,56.57769949871291,1686.0,95,17.74736842105263,22.842433274624035,1519.0,105,14.466666666666667,20.579867226663055,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3637.0,202,49.27516596667118,985.0,12,13.345075193063272,700.0,12,9.483809781872376,785.0,65,10.63541525538545,557.0,10,7.546402926432733,717.0,61,9.714130876574991,,,
7000.0,7425.0,19.386422976501304,383,4078.0,182,22.406593406593405,54.92255892255892,2067.0,111,18.62162162162162,27.83838383838384,1280.0,90,14.222222222222221,17.23905723905724,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,2991.0,201,40.282828282828284,1576.0,15,21.225589225589225,612.0,13,8.242424242424242,833.0,76,11.218855218855218,570.0,10,7.6767676767676765,779.0,66,10.491582491582491,64.0,2.0,0.8619528619528619
7500.0,7562.0,19.79581151832461,382,4221.0,150,28.14,55.8185665167945,2057.0,129,15.945736434108527,27.20179846601428,1284.0,103,12.466019417475728,16.97963501719122,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3808.0,225,50.35704839989421,1235.0,13,16.331658291457288,558.0,13,7.379000264480297,766.0,64,10.129595345146788,504.0,9,6.66490346469188,642.0,55,8.48981750859561,49.0,3.0,0.6479767257339328
8000.0,7403.0,19.430446194225723,381,4182.0,184,22.72826086956522,56.49061191408889,2156.0,118,18.271186440677965,29.123328380386333,1065.0,79,13.481012658227849,14.386059705524787,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3659.0,220,49.42590841550722,1271.0,12,17.168715385654465,632.0,11,8.537079562339592,713.0,72,9.631230582196407,445.0,10,6.01107659057139,683.0,56,9.22598946373092,,,
8500.0,6786.0,17.625974025974028,385,2993.0,163,18.36196319018405,44.10551134689066,2095.0,108,19.39814814814815,30.872384320660185,1698.0,114,14.894736842105264,25.022104332449157,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%,3385.0,213,49.88211022693781,645.0,7,9.504862953138815,608.0,12,8.959622752726201,772.0,75,11.376363100501031,555.0,10,8.178603006189213,821.0,68,12.098437960506926,,,
9000.0,7692.0,20.512,375,4667.0,180,25.927777777777777,60.67342693707748,1860.0,114,16.31578947368421,24.180967238689547,1165.0,81,14.382716049382717,15.14560582423297,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3417.0,198,44.42277691107645,1809.0,20,23.517940717628704,493.0,13,6.409256370254811,775.0,70,10.075403016120644,473.0,10,6.149245969838794,725.0,64,9.425377015080603,,,
9500.0,8075.0,20.599489795918366,392,4532.0,152,29.81578947368421,56.12383900928792,2013.0,137,14.693430656934307,24.928792569659443,1530.0,103,14.854368932038835,18.947368421052634,41.8%,33.6%,60.0%,79.1%,77.7%,77.9%,40.3%,64.2%,63.1%,50.7%,65.0%,71.9%,3145.0,211,38.94736842105263,2323.0,24,28.76780185758514,517.0,11,6.402476780185759,816.0,72,10.105263157894736,575.0,10,7.120743034055728,699.0,64,8.656346749226005,,,
