fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,15.35259188998577,5.5450957881897125,1.1302288871349617,8.677267214661097,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,28.746753246753247,22.071428571428573,14.524390243902438,23.201657458563535
4500.0,8.359214017794976,1.2433862433862437,2.2629940865234985,4.852833687885234,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,23.333333333333332,24.352941176470587,17.237113402061855,22.08994708994709
5500.0,11.7160541905751,3.960601992276203,1.8887004343021587,5.866751763996739,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,26.207100591715978,20.357798165137616,16.379746835443036,22.246498599439775
6500.0,4.532265773442241,0.12988482106128885,1.9280219780219774,2.4743589743589745,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,24.572192513368982,22.514285714285716,26.916666666666668,24.442307692307693
7000.0,8.740253486129658,3.0546031746031765,0.36359126984127244,5.322059041685209,55.1%,66.2%,67.4%,48.2%,79.0%,6.1%,11.7%,61.8%,75.4%,59.2%,11.2%,63.6%,21.451428571428572,18.760416666666668,13.074766355140186,18.396825396825395
7500.0,9.057067949752106,2.2245891661594612,1.5792050691244235,5.2532737144682216,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.547169811320753,24.901785714285715,18.06930693069307,23.322580645161292
8000.0,11.209889372200113,2.7261231384338807,1.374760628111833,7.109005605654399,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.99421965317919,24.642857142857142,16.15909090909091,23.26809651474531
8500.0,7.941869552342435,3.164410297716781,2.8147284747964996,1.9627307798291547,77.0%,58.9%,37.7%,75.8%,62.6%,59.4%,78.7%,80.0%,78.4%,3.3%,53.5%,51.3%,20.745562130177515,14.766423357664234,15.618421052631579,17.581151832460733
9000.0,3.302051490968715,0.7266006842619745,0.4907270395580561,2.0847237671486845,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,22.914772727272727,22.678899082568808,20.103448275862068,22.188172043010752
9500.0,10.440802064675784,4.493773842942488,0.9988212812315851,4.948206940501711,20.6%,69.0%,34.0%,66.3%,58.9%,71.7%,27.6%,41.0%,68.3%,68.7%,55.8%,28.7%,23.515151515151516,18.022556390977442,14.073170731707316,19.021377672209027
10000.0,9.994586266922127,3.8295412159641913,0.1043607030123539,6.060684347945582,29.4%,76.0%,32.2%,74.6%,77.4%,49.7%,47.0%,9.8%,2.1%,10.4%,1.4%,73.0%,24.142857142857142,20.208955223880597,14.25263157894737,20.31331592689295
15000.0,8.192897101247432,3.202188067207299,2.2364530018685507,2.7542560321715825,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,26.96894409937888,21.53030303030303,21.0125,23.766756032171582
