fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,9.006580333546172,2.1278659611992943,1.493152816682226,5.385561555664651,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,24.987654320987655,24.352941176470587,17.47422680412371,22.85978835978836
4500.0,11.7160541905751,3.960601992276203,1.8887004343021587,5.866751763996739,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,26.207100591715978,20.357798165137616,16.379746835443036,22.246498599439775
5500.0,6.238269758165043,1.466841186736474,3.5095238095238095,1.2619047619047592,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,27.63350785340314,22.65714285714286,27.428571428571427,26.166666666666668
6500.0,9.057067949752106,2.2245891661594612,1.5792050691244235,5.2532737144682216,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.547169811320753,24.901785714285715,18.06930693069307,23.322580645161292
7000.0,11.209889372200113,2.7261231384338807,1.374760628111833,7.109005605654399,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.99421965317919,24.642857142857142,16.15909090909091,23.26809651474531
7500.0,9.367127336932906,1.7699237076007641,1.8051970762074632,5.792006553124679,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,23.24867724867725,23.28395061728395,15.686746987951807,21.478753541076486
8000.0,3.302051490968715,0.7266006842619745,0.4907270395580561,2.0847237671486845,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,22.914772727272727,22.678899082568808,20.103448275862068,22.188172043010752
8500.0,10.980588664808948,4.7411358237961565,1.4834711481792375,4.755981692833554,20.6%,69.0%,34.0%,66.3%,58.9%,71.7%,27.6%,41.0%,68.3%,68.7%,55.8%,28.7%,24.472727272727273,18.24812030075188,14.975609756097562,19.731591448931116
9000.0,9.994586266922127,3.8295412159641913,0.1043607030123539,6.060684347945582,29.4%,76.0%,32.2%,74.6%,77.4%,49.7%,47.0%,9.8%,2.1%,10.4%,1.4%,73.0%,24.142857142857142,20.208955223880597,14.25263157894737,20.31331592689295
9500.0,6.795938127789846,1.432482978288185,1.042475171886938,4.320979977614723,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.218579234972676,24.82857142857143,19.46511627906977,23.78609625668449
10000.0,3.3827349446131407,0.08010774142059063,1.6873812129240306,1.6152459902685194,54.1%,78.4%,76.9%,63.3%,64.2%,33.2%,60.1%,37.8%,68.8%,69.6%,66.3%,75.9%,27.696428571428573,29.463917525773194,26.161290322580644,27.776536312849164
15000.0,9.020810878314542,1.8266992409039347,2.4603587063974004,4.733752931013207,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,23.191082802547772,23.824742268041238,16.63063063063063,21.364383561643837
