fps,mean_travel_time,std_travel_time,min_travel_time,max_travel_time,mean_avg_trip_time,mean_trip_count,count,mean_low_time,mean_middle_time,mean_high_time
1000.0,4931.75,186.36908944350188,4539.0,5177.0,19.085550326823263,259.5,8,2931.5,1155.625,844.625
1500.0,4439.0,143.76717288727633,4189.0,4648.0,16.74801115383885,265.375,8,2452.5,1154.0,832.5
2000.0,3881.875,151.93537894447098,3643.0,4121.0,14.451042068028979,269.0,8,2070.375,1053.875,757.625
2500.0,3859.375,100.02741811623451,3687.0,4004.0,14.176042315730747,272.625,8,1964.375,1045.0,850.0
3000.0,3816.625,100.42900166286628,3641.0,3929.0,14.013700213684615,273.0,8,2113.375,935.875,767.375
3500.0,3799.25,155.81860447327847,3450.0,4002.0,14.229044916532043,267.125,8,2092.75,965.875,740.625
4000.0,3765.5,169.1766827905075,3377.0,3995.0,14.169470978274855,266.125,8,2112.75,914.0,738.75
4500.0,3836.75,61.45069161531056,3741.0,3942.0,13.940729551164058,275.5,8,2048.0,995.25,793.5
5000.0,3745.875,144.2258970330918,3517.0,3961.0,13.850644065366058,270.75,8,1940.75,1053.0,752.125
6000.0,3830.25,125.03674459933768,3582.0,3974.0,14.315094610240358,268.0,8,1966.375,1188.625,675.25
7000.0,3875.625,147.76834699961964,3640.0,4106.0,14.54649269773379,267.0,8,2015.5,1010.0,850.125
8000.0,3808.625,121.65929629502219,3539.0,3992.0,14.246202322372259,267.75,8,1966.625,1079.625,762.375
