fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
4500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
5500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
6500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
10000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
