fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9197775020468801,0.41368919500645723,0.19694360740421873,0.3091446996362041,54.6%,61.9%,63.4%,56.5%,36.2%,35.0%,30.9%,27.9%,12.4%,5.4%,9.2%,11.4%
1500.0,0.6552768537304619,0.26195968979474127,0.14205382246619364,0.25126334146952695,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,15.2%,1.2%,14.4%,6.0%
2000.0,0.529259515992384,0.2646297579961919,0.1294508120229914,0.13517894597320065,49.0%,68.4%,45.4%,62.9%,32.4%,43.0%,43.0%,32.3%,7.6%,1.3%,12.6%,7.3%
2500.0,0.31552552183071114,0.09487123671433575,0.07593400572701904,0.14472027938935633,64.0%,67.8%,49.5%,60.0%,43.5%,31.0%,43.3%,38.5%,24.0%,7.2%,21.5%,16.3%
3000.0,0.2345496943341527,0.10335917312661493,0.05167958656330759,0.07951093464423023,55.6%,69.8%,53.4%,53.2%,41.3%,38.1%,29.9%,22.6%,13.9%,8.1%,9.3%,8.3%
3500.0,0.14912409115307654,0.03312350558727365,0.057131703508515055,0.05886888205728783,55.4%,69.5%,49.5%,58.6%,27.8%,33.5%,42.6%,36.0%,18.2%,9.5%,17.0%,10.0%
4000.0,0.2391061931720707,0.11313046834791562,0.04842168468004799,0.07755404014410706,57.9%,68.6%,56.1%,45.9%,40.0%,32.3%,35.9%,26.3%,8.9%,12.9%,7.3%,16.4%
4500.0,0.3403704037490987,0.16607836657854683,0.10234418809581028,0.07194784907474164,49.8%,65.8%,60.4%,52.1%,31.8%,43.7%,32.3%,24.1%,12.5%,7.8%,7.6%,9.3%
5000.0,0.35663384903891227,0.1659902216864243,0.07726876967383292,0.11337485767865504,45.0%,62.9%,62.8%,48.9%,29.5%,40.1%,34.3%,36.3%,11.0%,5.4%,16.5%,16.5%
6000.0,0.2992398160610915,0.13980072131548388,0.027920699124710013,0.13151839562089762,61.8%,67.5%,62.0%,56.9%,40.1%,25.6%,31.3%,36.2%,8.3%,12.2%,15.3%,13.3%
7000.0,0.228522920203735,0.074589700056593,0.061403508771929675,0.09252971137521232,55.4%,69.5%,49.5%,58.6%,27.8%,33.5%,42.6%,36.0%,18.2%,9.5%,17.0%,10.0%
8000.0,0.2584247879705126,0.05699690705039316,0.08535273096092741,0.11607514995919205,52.5%,67.4%,51.9%,63.5%,31.2%,36.7%,34.0%,30.8%,6.2%,10.1%,10.4%,11.5%
