fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.4711578652079388,0.2346111227996352,0.05534469457886257,0.18120204782944105,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
4500.0,0.3032319037944918,0.14667191302212407,0.0658436213991769,0.09071636937319079,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
5500.0,0.5784098864006543,0.28920494320032714,0.10973461141261028,0.1794703317877169,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
6500.0,0.40719081654754163,0.20359540827377093,0.08035520901017967,0.12324019926359102,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
7000.0,0.46594516594516605,0.19716873165149024,0.10802607354331499,0.1607503607503608,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7500.0,0.3761510011260859,0.11045692508718225,0.09797628234941377,0.1677177936894899,60.3%,79.4%,4.4%,55.0%,71.9%,37.2%,73.8%,75.9%,47.3%,59.7%,46.9%,9.3%
8000.0,0.31374280452970266,0.15524163730479806,0.07649890527353663,0.08200226195136792,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
8500.0,0.2905280233439879,0.14443452580924865,0.053013505341664977,0.09307999219307425,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9000.0,0.5599192159787403,0.23577872655321827,0.12271424290514134,0.20142624652038055,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.4058787196964684,0.20149559923234733,0.09994264663710761,0.10444047382701338,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
10000.0,0.4589908403708514,0.20835966587141777,0.09395300712002057,0.15667816737941312,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.5311035198675649,0.12928311804716305,0.164108467479254,0.2377119343411478,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
