fps_value,mode,target_share,actual_share,share_ratio,adherence_score
100,MaaS_Bundle,0.3,0.2616279069767442,0.8720930232558141,0.9678091314521335
100,public,0.3,0.5697674418604651,1.8992248062015504,0.19845150734790698
100,bike,0.1,0.09302325581395349,0.9302325581395349,0.9903122397552087
100,car,0.25,0.0,0.0,0.1353352832366127
100,walk,0.05,0.0755813953488372,1.511627906976744,0.5924278234265146
1000,walk,0.05,0.06111111111111111,1.222222222222222,0.9059551911095097
1000,bike,0.1,0.10555555555555556,1.0555555555555556,0.9938461733264412
1000,car,0.25,0.0,0.0,0.1353352832366127
1000,MaaS_Bundle,0.3,0.26666666666666666,0.888888888888889,0.975610980064846
1000,public,0.3,0.5666666666666667,1.8888888888888888,0.20592424643419874
4000,MaaS_Bundle,0.3,0.3776595744680851,1.2588652482269505,0.8745704447253819
4000,public,0.3,0.4627659574468085,1.5425531914893618,0.5550328758687165
4000,bike,0.1,0.09574468085106383,0.9574468085106382,0.9963850016845572
4000,car,0.25,0.010638297872340425,0.0425531914893617,0.15986768378039898
4000,walk,0.05,0.05319148936170213,1.0638297872340425,0.9918846254246545
8000,car,0.25,0.006622516556291391,0.026490066225165563,0.15025173137832637
8000,bike,0.1,0.10596026490066225,1.0596026490066224,0.9929202289602629
8000,walk,0.05,0.052980132450331126,1.0596026490066224,0.9929202289602629
8000,MaaS_Bundle,0.3,0.26490066225165565,0.8830022075055188,0.972994385707894
8000,public,0.3,0.5695364238410596,1.8984547461368655,0.19900170992398553
10000,MaaS_Bundle,0.3,0.34545454545454546,1.1515151515151516,0.9551244027959475
10000,public,0.3,0.4727272727272727,1.5757575757575757,0.5153064163306065
10000,bike,0.1,0.12727272727272726,1.2727272727272725,0.8617756314171566
10000,car,0.25,0.0,0.0,0.1353352832366127
10000,walk,0.05,0.05454545454545454,1.0909090909090908,0.9836069275391279
25000,walk,0.05,0.05555555555555555,1.111111111111111,0.975610980064846
25000,bike,0.1,0.10493827160493827,1.0493827160493825,0.9951345694511908
25000,car,0.25,0.0,0.0,0.1353352832366127
25000,MaaS_Bundle,0.3,0.4074074074074074,1.3580246913580247,0.7738607282504752
25000,public,0.3,0.43209876543209874,1.4403292181069958,0.6785618542480886
50000,MaaS_Bundle,0.3,0.3333333333333333,1.1111111111111112,0.9756109800648459
50000,public,0.3,0.5192307692307693,1.730769230769231,0.3436789517169682
50000,bike,0.1,0.08974358974358974,0.8974358974358974,0.9791809811385647
50000,car,0.25,0.0,0.0,0.1353352832366127
50000,walk,0.05,0.057692307692307696,1.1538461538461537,0.9537656590601991
100000,car,0.25,0.024844720496894408,0.09937888198757763,0.1974565346822335
100000,MaaS_Bundle,0.3,0.2857142857142857,0.9523809523809523,0.9954751208601006
100000,public,0.3,0.5341614906832298,1.7805383022774328,0.2956792335642952
100000,bike,0.1,0.09316770186335403,0.9316770186335402,0.9907073861295135
100000,walk,0.05,0.062111801242236024,1.2422360248447204,0.8892680383421355
