parameter_set,run,seed,metric,value
CONGESTION_BETA=3.0,0,990,travel_time_equity_index,21.492502311098136
CONGESTION_BETA=3.0,1,1990,travel_time_equity_index,26.848134617322337
CONGESTION_BETA=3.0,2,2990,travel_time_equity_index,26.704493995616303
CONGESTION_BETA=3.0,3,3990,travel_time_equity_index,26.50750565806424
CONGESTION_BETA=3.0,4,4990,travel_time_equity_index,31.46866341897732
CONGESTION_BETA=4.0,0,28,travel_time_equity_index,30.530618396028515
CONGESTION_BETA=4.0,1,1028,travel_time_equity_index,22.00755224852984
CONGESTION_BETA=4.0,2,2028,travel_time_equity_index,22.78086674986255
CONGESTION_BETA=4.0,3,3028,travel_time_equity_index,29.16730055658627
CONGESTION_BETA=4.0,4,4028,travel_time_equity_index,21.13732142857143
CONGESTION_BETA=5.0,0,726,travel_time_equity_index,28.64984021606911
CONGESTION_BETA=5.0,1,1726,travel_time_equity_index,32.11856721135618
CONGESTION_BETA=5.0,2,2726,travel_time_equity_index,26.389399795299546
CONGESTION_BETA=5.0,3,3726,travel_time_equity_index,33.62618908066885
CONGESTION_BETA=5.0,4,4726,travel_time_equity_index,29.995131409605094
