fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
1000.0,4974.0,20.899159663865547,238,2855.0,94,30.372340425531913,57.398472054684355,1496.0,90,16.622222222222224,30.076397265782067,623.0,54,11.537037037037036,12.525130679533575,60.4%,54.8%,51.9%,64.4%,41.7%,28.6%,29.6%,28.2%,15.7%,10.5%,15.0%,5.4%,1518.0,98,30.51869722557298,1454.0,22,29.23200643345396,560.0,10,11.258544431041416,548.0,10,11.0172899075191,497.0,53,9.991958182549256,397.0,45,7.981503819863289,,,
1500.0,4584.0,17.363636363636363,264,2431.0,100,24.31,53.03228621291448,1006.0,69,14.579710144927537,21.94589877835951,1147.0,95,12.073684210526316,25.021815008726005,51.7%,63.3%,47.8%,56.7%,31.2%,42.2%,29.0%,30.2%,12.6%,1.6%,6.6%,8.7%,1413.0,101,30.824607329842934,1140.0,14,24.86910994764398,503.0,10,10.972949389179755,227.0,5,4.952006980802793,646.0,66,14.092495636998253,655.0,68,14.288830715532285,,,
2000.0,3681.0,13.385454545454545,275,2057.0,117,17.581196581196583,55.88155392556371,789.0,76,10.381578947368421,21.434392828035858,835.0,82,10.182926829268293,22.684053246400435,58.4%,54.5%,55.5%,59.9%,33.8%,25.8%,39.6%,23.7%,11.6%,1.4%,6.2%,7.6%,1690.0,116,45.91143710948112,79.0,3,2.1461559358869873,349.0,10,9.481119261070361,200.0,6,5.433306166802499,630.0,67,17.114914425427873,685.0,72,18.60907362129856,48.0,1.0,1.3039934800325998
2500.0,4004.0,13.854671280276817,289,2162.0,106,20.39622641509434,53.99600399600399,907.0,86,10.546511627906977,22.65234765234765,935.0,97,9.639175257731958,23.35164835164835,62.5%,54.8%,56.1%,50.4%,25.9%,28.7%,30.7%,33.5%,8.5%,9.8%,11.8%,15.7%,1581.0,121,39.485514485514486,368.0,5,9.19080919080919,429.0,10,10.714285714285714,274.0,6,6.8431568431568435,654.0,75,16.333666333666333,698.0,72,17.432567432567435,,,
3000.0,3775.0,15.471311475409836,244,2088.0,109,19.155963302752294,55.311258278145694,898.0,62,14.483870967741936,23.788079470198674,789.0,73,10.808219178082192,20.90066225165563,54.7%,64.6%,56.6%,51.6%,31.1%,35.6%,44.7%,36.9%,5.6%,10.6%,9.6%,12.3%,1479.0,93,39.17880794701987,581.0,6,15.390728476821192,408.0,10,10.80794701986755,176.0,5,4.662251655629139,537.0,64,14.225165562913908,594.0,66,15.735099337748345,,,
3500.0,3768.0,13.852941176470589,272,1881.0,93,20.225806451612904,49.92038216560509,901.0,82,10.987804878048781,23.911889596602972,986.0,97,10.164948453608247,26.16772823779193,54.7%,53.0%,56.5%,61.7%,26.1%,41.3%,33.6%,23.4%,17.3%,0.3%,10.4%,10.6%,1673.0,131,44.40021231422505,436.0,8,11.571125265392782,322.0,5,8.545647558386412,102.0,3,2.7070063694267517,584.0,61,15.498938428874734,651.0,64,17.277070063694268,,,
4000.0,3858.0,14.838461538461539,260,2346.0,109,21.522935779816514,60.80870917573873,861.0,84,10.25,22.317262830482115,651.0,67,9.716417910447761,16.874027993779162,57.9%,56.7%,54.1%,64.9%,37.3%,44.8%,38.8%,24.7%,13.1%,2.7%,5.6%,10.1%,1441.0,108,37.350959046137895,497.0,6,12.88232244686366,387.0,9,10.031104199066874,292.0,6,7.568688439606014,631.0,66,16.355624675997927,610.0,65,15.811301192327631,,,
4500.0,3863.0,14.632575757575758,264,2207.0,111,19.882882882882882,57.131762878591765,760.0,67,11.343283582089553,19.67382863059798,896.0,86,10.418604651162791,23.19440849081025,57.4%,52.8%,49.1%,60.9%,25.3%,39.8%,30.5%,20.3%,16.8%,9.4%,16.0%,6.5%,1712.0,114,44.31788765208387,448.0,8,11.597204245405125,325.0,10,8.413150401242557,118.0,4,3.0546207610665284,612.0,61,15.842609370955216,648.0,67,16.7745275692467,,,
5000.0,3650.0,13.321167883211679,274,1793.0,111,16.153153153153152,49.12328767123288,1173.0,96,12.21875,32.136986301369866,684.0,67,10.208955223880597,18.73972602739726,57.7%,60.1%,53.6%,61.6%,30.1%,33.0%,40.4%,39.0%,5.5%,12.3%,8.6%,12.1%,1552.0,110,42.52054794520548,39.0,1,1.0684931506849316,354.0,10,9.698630136986301,270.0,6,7.397260273972603,662.0,69,18.136986301369863,773.0,78,21.178082191780824,,,
6000.0,3974.0,14.610294117647058,272,1605.0,92,17.445652173913043,40.387518872672366,1443.0,102,14.147058823529411,36.31102164066432,926.0,78,11.871794871794872,23.301459486663312,54.4%,65.6%,46.6%,49.2%,30.4%,42.9%,29.1%,29.3%,17.5%,1.6%,19.1%,15.7%,1786.0,114,44.94212380473075,289.0,4,7.272269753397081,254.0,8,6.391545042778057,304.0,8,7.649723200805234,647.0,67,16.280825364871664,694.0,71,17.463512833417212,,,
