fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage
1000.0,4539.0,15.597938144329897,291,2552.0,100,25.52,56.22383784974664,1189.0,115,10.339130434782609,26.195197179995596,798.0,76,10.5,17.580964970257764,60.2%,54.5%,45.1%,63.8%,26.2%,41.4%,33.0%,37.0%,16.7%,3.2%,13.1%,19.2%,1518.0,23,33.443489755452745,1406.0,125,30.97598589997797,611.0,69,13.461114782991848,562.0,60,12.381581846221634,348.0,11,7.666886979510905,94.0,3,2.0709407358449
1500.0,4530.0,17.423076923076923,260,2724.0,103,26.446601941747574,60.13245033112583,1123.0,87,12.908045977011493,24.79028697571744,683.0,70,9.757142857142858,15.077262693156731,54.4%,51.6%,63.6%,57.2%,29.1%,30.0%,42.5%,38.9%,18.3%,6.1%,16.6%,17.6%,883.0,13,19.492273730684325,1828.0,114,40.3532008830022,534.0,58,11.788079470198676,538.0,56,11.876379690949229,391.0,10,8.631346578366445,356.0,9,7.858719646799117
2000.0,4121.0,15.434456928838951,267,1948.0,100,19.48,47.27008007765106,1250.0,100,12.5,30.33244358165494,923.0,67,13.776119402985074,22.397476340694006,56.5%,52.9%,45.8%,55.8%,39.7%,36.3%,42.9%,31.3%,5.0%,3.8%,19.8%,17.2%,399.0,8,9.682115991264256,1705.0,113,41.37345304537733,636.0,63,15.433147294346034,632.0,66,15.336083474884738,428.0,10,10.385828682358651,321.0,7,7.789371511768989
2500.0,3918.0,15.011494252873563,261,1867.0,106,17.61320754716981,47.65186319550791,1365.0,88,15.511363636363637,34.839203675344564,686.0,67,10.238805970149254,17.508933129147525,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,274.0,6,6.993363961204696,1545.0,99,39.43338437978561,673.0,69,17.17713118938234,626.0,69,15.977539561000512,454.0,10,11.587544665645739,346.0,8,8.831036242981114
3000.0,3770.0,13.709090909090909,275,1985.0,101,19.653465346534652,52.65251989389921,1046.0,109,9.596330275229358,27.74535809018568,739.0,65,11.36923076923077,19.602122015915118,53.8%,59.9%,62.2%,58.4%,30.1%,43.4%,41.6%,30.2%,14.2%,9.9%,7.5%,14.2%,468.0,5,12.413793103448276,1547.0,110,41.03448275862069,734.0,77,19.46949602122016,635.0,72,16.843501326259947,359.0,9,9.522546419098143,27.0,2,0.7161803713527852
3500.0,3949.0,14.90188679245283,265,2053.0,101,20.326732673267326,51.987845024056725,1121.0,98,11.438775510204081,28.386933400860975,775.0,66,11.742424242424242,19.6252215750823,58.9%,56.6%,62.4%,53.1%,30.5%,26.9%,28.8%,38.0%,12.8%,9.4%,12.4%,12.0%,465.0,8,11.77513294504938,1731.0,106,43.833881995441885,654.0,75,16.561154722714612,530.0,61,13.421119270701443,428.0,10,10.838186882755128,141.0,5,3.5705241833375543
4000.0,3995.0,14.796296296296296,270,2401.0,122,19.68032786885246,60.10012515644556,846.0,86,9.837209302325581,21.176470588235293,748.0,62,12.064516129032258,18.72340425531915,53.4%,57.0%,54.6%,58.1%,36.0%,41.0%,29.7%,24.3%,15.2%,7.9%,19.2%,16.1%,638.0,7,15.969962453066334,1420.0,106,35.54443053817272,663.0,76,16.595744680851062,586.0,64,14.668335419274092,478.0,10,11.964956195244055,210.0,7,5.256570713391739
4500.0,3901.0,13.134680134680135,297,1917.0,117,16.384615384615383,49.14124583440144,1160.0,108,10.74074074074074,29.735965137144323,824.0,72,11.444444444444445,21.122789028454243,53.8%,59.9%,62.2%,58.4%,30.1%,43.4%,41.6%,30.2%,14.2%,9.9%,7.5%,14.2%,348.0,5,8.920789541143296,1658.0,124,42.50192258395283,752.0,81,19.27710843373494,730.0,77,18.713150474237374,263.0,6,6.741861061266342,150.0,4,3.8451679056652144
5000.0,3785.0,14.070631970260223,269,2060.0,111,18.55855855855856,54.42536327608983,858.0,75,11.44,22.668428005284017,867.0,83,10.44578313253012,22.906208718626157,63.8%,68.5%,62.0%,62.1%,41.6%,44.9%,44.3%,21.0%,10.6%,13.6%,16.8%,14.2%,149.0,3,3.936591809775429,1521.0,114,40.184940554821665,702.0,76,18.546895640686923,556.0,56,14.689564068692206,470.0,9,12.417437252311757,387.0,11,10.224570673712021
6000.0,3829.0,13.249134948096886,289,2083.0,127,16.401574803149607,54.40062679550797,1125.0,106,10.61320754716981,29.381039435884045,621.0,56,11.089285714285714,16.21833376860799,63.8%,68.5%,62.0%,62.1%,41.6%,44.9%,44.3%,21.0%,10.6%,13.6%,16.8%,14.2%,258.0,5,6.738051710629407,1322.0,102,34.525985897101066,714.0,77,18.647166361974406,736.0,81,19.221728910942804,449.0,13,11.726299294855053,350.0,11,9.140767824497258
