fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
1000.0,5046.0,19.407692307692308,260,2949.0,98,30.091836734693878,58.4423305588585,945.0,66,14.318181818181818,18.72770511296076,1152.0,96,12.0,22.829964328180736,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%,1873.0,109,37.11850971066191,1535.0,22,30.420134760206103,552.0,64,10.93935790725327,487.0,49,9.651208878319462,314.0,8,6.222750693618708,250.0,7,4.954419342053112,35.0,1.0,0.6936187078874356
1500.0,4480.0,17.5,256,2445.0,107,22.850467289719628,54.57589285714286,932.0,67,13.91044776119403,20.80357142857143,1103.0,82,13.451219512195122,24.620535714285715,56.7%,57.2%,57.9%,50.1%,37.5%,35.1%,27.1%,39.9%,11.3%,0.1%,18.6%,10.3%,1509.0,101,33.683035714285715,852.0,13,19.017857142857142,629.0,68,14.040178571428571,581.0,54,12.968750000000002,492.0,10,10.982142857142858,417.0,10,9.308035714285715,,,
2000.0,3993.0,15.536964980544747,257,2090.0,99,21.11111111111111,52.34159779614325,1066.0,76,14.026315789473685,26.69671925870273,837.0,82,10.207317073170731,20.96168294515402,60.1%,53.3%,60.2%,59.6%,25.3%,42.4%,34.1%,21.6%,19.2%,5.6%,6.4%,9.8%,1677.0,104,41.9984973703982,452.0,6,11.319809666917106,689.0,75,17.255196594039568,592.0,61,14.825945404457801,525.0,9,13.148009015777612,58.0,2,1.452541948409717,,,
2500.0,3855.0,14.277777777777779,270,1899.0,111,17.10810810810811,49.26070038910506,1039.0,82,12.670731707317072,26.95201037613489,917.0,77,11.909090909090908,23.78728923476005,62.1%,67.0%,48.9%,55.5%,30.1%,33.6%,31.3%,30.5%,6.1%,8.9%,10.1%,9.7%,1517.0,107,39.351491569390404,232.0,4,6.018158236057069,720.0,71,18.67704280155642,642.0,69,16.653696498054472,458.0,10,11.880674448767833,286.0,9,7.4189364461738005,,,
3000.0,3641.0,13.050179211469533,279,2044.0,139,14.70503597122302,56.138423510024715,783.0,57,13.736842105263158,21.505081021697336,814.0,83,9.80722891566265,22.356495468277945,50.5%,68.9%,62.2%,61.4%,41.9%,27.2%,35.3%,32.4%,14.3%,6.6%,14.5%,6.4%,1483.0,118,40.73056852513046,240.0,7,6.591595715462785,679.0,68,18.64872287833013,621.0,68,17.055753913759954,370.0,12,10.162043394671795,248.0,6,6.811315572644879,,,
3500.0,3875.0,15.196078431372548,255,2105.0,103,20.436893203883496,54.32258064516129,1063.0,83,12.80722891566265,27.43225806451613,707.0,69,10.246376811594203,18.24516129032258,54.4%,51.6%,63.6%,57.2%,29.1%,30.0%,42.5%,38.9%,18.3%,6.1%,16.6%,17.6%,1770.0,108,45.67741935483871,411.0,7,10.606451612903225,596.0,62,15.380645161290325,607.0,66,15.664516129032258,442.0,10,11.406451612903226,49.0,2,1.264516129032258,,,
4000.0,3842.0,14.776923076923078,260,1876.0,98,19.142857142857142,48.828735033836544,1104.0,91,12.131868131868131,28.735033836543465,862.0,71,12.140845070422536,22.43623112961999,60.7%,60.0%,63.2%,59.6%,34.1%,29.1%,30.2%,29.1%,18.0%,1.0%,16.4%,11.6%,1740.0,111,45.288912024986985,292.0,6,7.6002082248828735,656.0,67,17.074440395627278,575.0,60,14.966163456533055,406.0,10,10.567412805830296,173.0,6,4.502863092139511,,,
4500.0,3807.0,13.452296819787986,283,2107.0,126,16.72222222222222,55.345416338324135,866.0,87,9.954022988505747,22.747570265300762,834.0,70,11.914285714285715,21.9070133963751,49.8%,65.8%,60.4%,52.1%,31.8%,43.7%,32.3%,24.1%,10.6%,7.8%,7.0%,9.3%,1437.0,103,37.74625689519306,285.0,4,7.486209613869188,826.0,93,21.696874179143684,638.0,68,16.758602574205412,229.0,6,6.015235093249278,368.0,8,9.666403992645128,24.0,1.0,0.6304176516942475
5000.0,3807.0,14.205223880597014,268,2030.0,104,19.51923076923077,53.322826372471766,1023.0,96,10.65625,26.871552403467298,754.0,68,11.088235294117647,19.80562122406094,61.7%,59.1%,52.8%,58.3%,32.5%,38.1%,28.6%,26.7%,16.5%,6.8%,14.9%,13.9%,1451.0,112,38.11400052534804,160.0,2,4.202784344628316,691.0,65,18.150774888363543,612.0,64,16.07565011820331,491.0,13,12.897294457578145,402.0,12,10.559495665878645,,,
6000.0,3774.0,15.03585657370518,251,1988.0,111,17.90990990990991,52.67620561738209,1261.0,104,12.125,33.41282458929518,525.0,36,14.583333333333334,13.910969793322733,49.8%,63.4%,52.5%,58.7%,27.9%,29.9%,36.7%,36.3%,18.7%,1.8%,18.2%,14.8%,1624.0,105,43.031266560678326,458.0,7,12.135665076841548,640.0,69,16.95813460519343,518.0,53,13.725490196078432,345.0,11,9.141494435612083,172.0,4,4.557498675145734,17.0,2.0,0.45045045045045046
7000.0,3997.0,15.432432432432432,259,2067.0,117,17.666666666666668,51.71378533900425,1098.0,82,13.390243902439025,27.47060295221416,832.0,60,13.866666666666667,20.815611708781585,54.4%,65.6%,46.6%,49.2%,30.4%,42.9%,29.1%,29.3%,17.5%,1.6%,19.1%,15.7%,1867.0,105,46.7100325243933,228.0,4,5.7042782086564925,687.0,73,17.187890918188643,608.0,62,15.211408556417313,352.0,8,8.806604953715286,255.0,7,6.3797848386289715,,,
