fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
1000.0,5046.0,18.619926199261993,271,3002.0,106,28.32075471698113,59.49266745937376,1246.0,88,14.159090909090908,24.692826000792707,798.0,77,10.363636363636363,15.81450653983353,59.9%,66.1%,57.9%,55.7%,37.4%,37.8%,42.8%,20.1%,15.6%,5.6%,19.6%,19.1%,1663.0,22,32.956797463337296,1507.0,114,29.865239793896155,626.0,70,12.405866032500992,615.0,9,12.187871581450654,540.0,53,10.70154577883472,95.0,3.0,1.8826793499801824,,,
1500.0,4189.0,17.028455284552845,246,2352.0,122,19.278688524590162,56.14705180233946,1089.0,81,13.444444444444445,25.996657913583192,748.0,43,17.3953488372093,17.856290284077346,49.2%,55.3%,58.3%,45.1%,31.2%,28.1%,29.8%,31.6%,5.9%,0.5%,9.8%,10.0%,820.0,11,19.57507758414896,1775.0,121,42.3728813559322,531.0,57,12.676056338028168,313.0,10,7.4719503461446655,484.0,42,11.554070183814753,266.0,5.0,6.349964191931249,,,
2000.0,3643.0,14.456349206349206,252,1980.0,108,18.333333333333332,54.350809772165796,1021.0,79,12.924050632911392,28.026351907768323,642.0,65,9.876923076923077,17.62283832006588,59.7%,56.4%,58.1%,56.5%,33.9%,32.9%,25.3%,32.7%,9.9%,10.0%,18.5%,6.7%,255.0,3,6.999725500960746,1678.0,110,46.060938786714246,738.0,71,20.258029096898163,333.0,6,9.140818007136975,523.0,57,14.356299752950866,116.0,5.0,3.184188855339006,,,
2500.0,3891.0,13.749116607773852,283,2014.0,109,18.477064220183486,51.760472886147525,1040.0,93,11.182795698924732,26.72834746851709,837.0,81,10.333333333333334,21.51117964533539,62.4%,61.7%,50.2%,62.5%,28.6%,33.2%,31.4%,29.6%,19.2%,6.3%,15.0%,14.6%,132.0,2,3.3924441017733233,1881.0,130,48.342328450269854,647.0,65,16.62811616551015,448.0,14,11.513749678745825,631.0,67,16.216910819840656,152.0,5.0,3.90645078386019,,,
3000.0,3897.0,15.046332046332047,259,2257.0,131,17.229007633587788,57.91634590710804,860.0,58,14.827586206896552,22.068257634077497,780.0,70,11.142857142857142,20.01539645881447,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%,494.0,8,12.676417757249167,1619.0,107,41.54477803438542,625.0,71,16.03797793174237,381.0,9,9.776751347190146,635.0,60,16.294585578650246,143.0,4.0,3.669489350782653,,,
3500.0,3809.0,14.265917602996256,267,2102.0,104,20.21153846153846,55.18508794959307,1056.0,91,11.604395604395604,27.72381202415332,651.0,72,9.041666666666666,17.09110002625361,52.3%,55.5%,56.9%,55.0%,39.7%,34.3%,27.4%,21.5%,19.7%,2.9%,13.6%,16.3%,410.0,8,10.763980047256497,1752.0,115,45.99632449461801,605.0,63,15.883433972171174,273.0,7,7.167235494880546,610.0,67,16.01470202152796,159.0,7.0,4.174323969545812,,,
4000.0,3377.0,12.191335740072201,277,1947.0,138,14.108695652173912,57.65472312703584,879.0,81,10.851851851851851,26.029019840094758,551.0,58,9.5,16.316257032869412,65.0%,62.9%,55.1%,64.9%,29.5%,32.7%,38.0%,30.3%,5.2%,7.2%,8.6%,15.7%,118.0,3,3.4942256440627775,1327.0,104,39.295232454841575,656.0,77,19.425525614450695,341.0,11,10.097719869706841,622.0,74,18.418714835652946,313.0,8.0,9.268581581285163,,,
4500.0,3795.0,13.85036496350365,274,2139.0,134,15.962686567164178,56.36363636363636,946.0,68,13.911764705882353,24.92753623188406,710.0,72,9.86111111111111,18.708827404479578,56.4%,63.8%,45.9%,48.9%,25.2%,37.2%,43.9%,36.8%,15.9%,0.4%,12.1%,18.2%,575.0,7,15.151515151515152,1282.0,113,33.781291172595516,680.0,71,17.918313570487484,356.0,10,9.38076416337286,609.0,65,16.047430830039524,293.0,8.0,7.72068511198946,,,
5000.0,3854.0,14.598484848484848,264,2026.0,117,17.316239316239315,52.5687597301505,1198.0,88,13.613636363636363,31.0845874416191,630.0,59,10.677966101694915,16.34665282823041,54.4%,65.6%,46.6%,49.2%,30.4%,42.9%,29.1%,29.3%,17.5%,1.6%,19.1%,15.7%,328.0,6,8.51063829787234,1602.0,112,41.567202906071614,665.0,74,17.254800207576544,525.0,10,13.622210690192007,608.0,58,15.775817332641411,126.0,4.0,3.269330565646082,,,
6000.0,3921.0,14.415441176470589,272,2331.0,123,18.951219512195124,59.44912012241775,1169.0,107,10.925233644859814,29.813823004335628,421.0,42,10.023809523809524,10.73705687324662,49.2%,55.3%,58.3%,45.1%,31.2%,28.1%,29.8%,31.6%,5.9%,0.5%,9.8%,10.0%,680.0,8,17.34251466462637,1749.0,122,44.605967865340475,664.0,67,16.934455496046926,240.0,7,6.120887528691661,588.0,68,14.996174445294569,,,,,,
