fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
1000.0,4766.0,19.217741935483872,248,2564.0,80,32.05,53.79773394880403,918.0,71,12.929577464788732,19.261435165757447,1284.0,97,13.237113402061855,26.940830885438523,49.6%,68.6%,53.1%,64.9%,27.3%,42.0%,36.2%,35.1%,10.7%,7.1%,13.8%,7.0%,1731.0,21,36.3197650020982,1254.0,92,26.311372219890895,664.0,62,13.932018464120857,580.0,59,12.169534200587496,357.0,8,7.490558120016785,180.0,6,3.776751993285774,,,
1500.0,4417.0,16.79467680608365,263,2189.0,88,24.875,49.55852388498981,1633.0,109,14.98165137614679,36.97079465700702,595.0,66,9.015151515151516,13.47068145800317,52.3%,55.5%,56.9%,55.0%,39.7%,34.3%,27.4%,21.5%,19.7%,2.9%,13.6%,16.3%,955.0,13,21.62100973511433,1598.0,109,36.17840163006566,602.0,65,13.629160063391444,577.0,59,13.063165044147611,371.0,10,8.399366085578446,287.0,6,6.497622820919176,27.0,1.0,0.611274620783337
2000.0,3843.0,13.34375,288,2090.0,119,17.563025210084035,54.38459536820193,1076.0,92,11.695652173913043,27.99895914650013,677.0,77,8.792207792207792,17.616445485297945,49.8%,63.4%,52.5%,58.7%,27.9%,29.9%,36.7%,36.3%,18.7%,1.8%,18.2%,14.8%,449.0,6,11.683580536039551,1395.0,121,36.29976580796253,689.0,82,17.928701535258913,594.0,64,15.456674473067917,531.0,10,13.817330210772832,185.0,5,4.813947436898257,,,
2500.0,3780.0,13.548387096774194,279,1487.0,94,15.819148936170214,39.33862433862434,1016.0,80,12.7,26.87830687830688,1277.0,105,12.161904761904761,33.783068783068785,57.9%,56.7%,54.1%,64.9%,37.3%,44.8%,38.8%,24.7%,13.1%,2.7%,5.6%,10.1%,104.0,4,2.751322751322751,1683.0,116,44.52380952380952,633.0,69,16.746031746031743,660.0,74,17.46031746031746,465.0,9,12.3015873015873,235.0,7,6.216931216931217,,,
3000.0,3899.0,13.925,280,1998.0,148,13.5,51.24390869453707,1181.0,78,15.14102564102564,30.28981790202616,720.0,54,13.333333333333334,18.466273403436777,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,12.7%,1.2%,12.0%,6.0%,277.0,7,7.104385739933317,1655.0,111,42.44678122595537,697.0,74,17.87637855860477,623.0,65,15.978456014362658,447.0,14,11.464478071300334,200.0,9,5.12952038984355,,,
3500.0,3782.0,14.325757575757576,264,2150.0,119,18.067226890756302,56.84822845055526,861.0,79,10.89873417721519,22.765732416710733,771.0,66,11.681818181818182,20.386039132734002,53.0%,55.8%,45.6%,52.1%,38.7%,26.0%,30.7%,26.6%,5.8%,12.9%,13.5%,13.1%,489.0,9,12.929666842940243,1684.0,120,44.52670544685351,627.0,64,16.57852987837123,598.0,60,15.811739820200952,323.0,9,8.540454785827604,61.0,2,1.6129032258064515,,,
4000.0,3740.0,13.405017921146953,279,2091.0,112,18.669642857142858,55.90909090909091,903.0,89,10.146067415730338,24.144385026737968,746.0,78,9.564102564102564,19.946524064171122,59.7%,56.4%,58.1%,56.5%,33.9%,32.9%,25.3%,32.7%,9.9%,10.0%,18.5%,6.7%,288.0,5,7.700534759358289,1537.0,116,41.096256684491976,718.0,72,19.197860962566846,664.0,69,17.754010695187166,317.0,9,8.475935828877006,216.0,8,5.775401069518717,,,
4500.0,3942.0,14.179856115107913,278,2071.0,108,19.175925925925927,52.536783358701165,1013.0,81,12.506172839506172,25.697615423642823,858.0,89,9.640449438202246,21.765601217656013,55.3%,54.4%,49.9%,48.6%,43.7%,26.9%,27.6%,33.3%,17.7%,3.4%,12.2%,7.8%,466.0,6,11.821410451547438,1703.0,114,43.201420598680876,654.0,68,16.590563165905632,638.0,76,16.184677828513443,343.0,9,8.701166920345003,138.0,5,3.50076103500761,,,
5000.0,3832.0,13.833935018050541,277,1819.0,104,17.490384615384617,47.46868475991649,1213.0,106,11.443396226415095,31.654488517745307,800.0,67,11.940298507462687,20.876826722338205,57.0%,51.5%,56.5%,45.9%,36.8%,36.3%,28.8%,34.6%,16.9%,13.1%,15.9%,13.3%,138.0,5,3.60125260960334,1461.0,105,38.126304801670145,672.0,72,17.536534446764094,724.0,72,18.893528183716075,448.0,11,11.691022964509393,361.0,11,9.420668058455114,28.0,1.0,0.7306889352818371
6000.0,3936.0,15.255813953488373,258,2151.0,115,18.704347826086956,54.64939024390244,989.0,73,13.547945205479452,25.127032520325205,796.0,70,11.371428571428572,20.223577235772357,54.7%,64.6%,56.6%,51.6%,31.1%,35.6%,44.7%,36.9%,5.6%,10.6%,9.6%,12.3%,605.0,10,15.370934959349594,1425.0,96,36.204268292682926,728.0,77,18.495934959349594,579.0,61,14.710365853658535,471.0,10,11.966463414634147,128.0,4,3.2520325203252036,,,
7000.0,3761.0,13.528776978417266,278,1704.0,113,15.079646017699115,45.307099175751134,1103.0,95,11.610526315789473,29.32730656740229,954.0,70,13.628571428571428,25.365594256846585,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,158.0,2,4.201010369582558,1464.0,120,38.925817601701674,691.0,63,18.37277319861739,681.0,74,18.106886466365328,516.0,10,13.719755384206328,251.0,9,6.673756979526721,,,
8000.0,3801.0,14.397727272727273,264,1926.0,100,19.26,50.67087608524072,1105.0,96,11.510416666666666,29.07129702709813,770.0,68,11.323529411764707,20.257826887661142,45.3%,61.5%,54.9%,64.4%,32.4%,37.7%,41.9%,28.4%,11.5%,8.4%,8.3%,15.2%,283.0,5,7.445409102867666,1767.0,111,46.48776637726914,673.0,73,17.705866877137595,597.0,65,15.706393054459353,454.0,8,11.944225203893712,27.0,2,0.7103393843725335,,,
