fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,100.0,1000.0,631.6061141286568,63.160611412865684,63.160611412865684,218.82657692025728,21.882657692025727,21.882657692025727,149.56730895108578,14.956730895108578,14.956730895108578
1500.0,100.0,1500.0,976.071871839596,65.07145812263974,65.07145812263974,478.859804118807,31.9239869412538,31.9239869412538,45.0683240415965,3.0045549361064334,3.0045549361064334
2000.0,95.06369512659786,1901.2739025319572,1257.7283433773134,66.15187541902175,62.88641716886567,562.6325136495891,29.59239659789798,28.131625682479456,80.91304550505511,4.255727983080286,4.045652275252755
2500.0,99.95555103589246,2498.8887758973115,1525.5748960980588,61.0501319951805,61.02299584392236,703.8679819830157,28.16723932541847,28.154719279320627,269.4458978162345,10.782628679400936,10.77783591264938
3000.0,89.76341863435275,2692.9025590305823,1850.5442695799143,68.71931787409684,61.684808985997144,629.6452318726489,23.381656709454603,20.988174395754964,212.7130575780178,7.899025416448502,7.090435252600594
3500.0,78.48302369217053,2746.9058292259683,1598.1753920976955,58.18093125340356,45.66215405993416,924.9388109344201,33.67202475940182,26.426823169554858,223.79162619385184,8.147043987194587,6.394046462681481
4000.0,62.18787369654826,2487.51494786193,1394.5481126027494,56.06189879588028,34.863702815068734,666.2543736533145,26.783934473478187,16.656359341332863,426.7124616058663,17.15416673064153,10.667811540146657
4500.0,46.691086122482986,2101.098875511734,1352.2042318483875,64.35700135811318,30.04898292996417,633.495312741741,30.15066640247712,14.077673616483132,115.39933092160582,5.492332239409707,2.564429576035685
5000.0,49.398270504027685,2469.9135252013843,1594.8785165801016,64.57224110508335,31.897570331602033,646.7205520122853,26.183935000702302,12.934411040245708,228.31445660899777,9.243823894214358,4.566289132179955
6000.0,37.828811885154764,2269.7287131092858,1513.5797982383915,66.68549371105011,25.22632997063986,585.9275417619222,25.81487110674403,9.76545902936537,170.22137310897216,7.499635182205854,2.837022885149536
7000.0,36.96299284940625,2587.409499458437,1705.9521317168242,65.93282323783274,24.370744738811773,820.0244914264364,31.692876276371145,11.714635591806234,61.43287631517509,2.3743004857960606,0.8776125187882157
8000.0,34.213917565826854,2737.1134052661487,1787.952298619982,65.32255094655557,22.349403732749774,886.252006080159,32.37907513715101,11.078150076001988,62.90910056600662,2.298373916293378,0.7863637570750828
