fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
1000.0,22.741244821181958,9.201581027667984,4.85296442687747,8.686699366636505,55.7%,69.1%,59.9%,53.5%,35.7%,29.9%,31.9%,35.4%,8.0%,11.3%,12.2%,5.9%,31.454545454545453,17.4,13.566265060240964,22.25296442687747
1500.0,15.539421399909747,6.498113207547167,3.217001866058471,5.824306326304109,58.4%,54.5%,55.5%,59.9%,33.8%,25.8%,39.6%,23.7%,11.6%,1.4%,6.2%,7.6%,25.528301886792452,15.813186813186814,13.205882352941176,19.030188679245285
2000.0,6.715517721721488,2.534593882419969,0.15225296442687863,4.02867087487464,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,10.4%,1.8%,9.6%,19.8%,20.846846846846848,18.16,14.283582089552239,18.31225296442688
2500.0,3.419210442958839,1.4943617358251498,0.5032459196772425,1.4216027874564467,55.7%,69.1%,59.9%,53.5%,35.7%,29.9%,31.9%,35.4%,8.0%,11.3%,12.2%,5.9%,17.28181818181818,15.284210526315789,14.365853658536585,15.787456445993032
3000.0,3.395944866105374,0.5834042553191487,0.9865621500559918,1.8259784607302336,62.1%,67.0%,48.9%,55.5%,30.1%,33.6%,31.3%,30.5%,6.1%,8.9%,10.1%,9.7%,15.36,15.763157894736842,12.950617283950617,14.77659574468085
3500.0,3.679604853176441,1.1653458536439505,0.21486243446982733,2.299396565062663,55.6%,69.8%,53.4%,53.2%,41.3%,38.1%,29.9%,22.6%,11.7%,8.1%,8.2%,8.3%,16.638655462184875,15.688172043010752,13.173913043478262,15.473309608540925
4000.0,3.1645496130701787,1.4779783125371342,0.411850205198359,1.2747210953346855,47.4%,67.6%,52.1%,60.9%,28.7%,35.6%,43.5%,38.1%,16.5%,14.4%,17.8%,12.2%,16.95959595959596,15.069767441860465,14.206896551724139,15.481617647058824
4500.0,4.223930836830883,1.9779756326148092,1.3774703557312247,0.8684848484848491,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,16.65979381443299,13.304347826086957,13.813333333333333,14.681818181818182
5000.0,3.4847010437874406,1.2380952380952372,0.43710627921154455,1.8094995264806588,64.9%,67.5%,59.5%,57.0%,28.4%,28.0%,26.0%,33.5%,5.7%,13.2%,18.9%,10.1%,17.99099099099099,16.31578947368421,14.943396226415095,16.752895752895753
6000.0,0.8637539527877394,0.16085540206310256,0.18978102189781154,0.5131175288268253,53.7%,64.4%,62.0%,56.4%,35.3%,25.4%,31.0%,39.5%,15.2%,5.1%,14.6%,19.4%,16.52892561983471,16.5,17.202898550724637,16.68978102189781
7000.0,4.120050658561295,1.6856636271529872,0.612907801418439,1.821479229989869,54.1%,69.7%,63.9%,52.2%,38.6%,42.3%,32.2%,22.1%,14.5%,0.6%,13.9%,15.1%,17.678571428571427,15.38,14.17142857142857,15.99290780141844
8000.0,4.3475949035228165,1.5674087561036174,0.48025130706032115,2.299934840358878,54.1%,69.7%,63.9%,52.2%,38.6%,42.3%,32.2%,22.1%,14.5%,0.6%,13.9%,15.1%,17.627906976744185,15.580246913580247,13.76056338028169,16.060498220640568
