FPS,Mode Share Equity,Travel Time Equity,Total System Travel Time
3500,97.023777,96.084205,92.375267
4500,86.632374,88.899126,81.744046
5500,85.367601,82.991795,76.005636
6500,83.497997,76.321592,69.515024
7000,81.572495,65.808267,69.440099
7500,81.455913,65.944006,58.608696
8000,75.041726,57.775054,62.612890
8500,70.926670,62.696026,56.788701
9000,65.444539,53.928742,58.455083
9500,63.958644,56.523528,50.978283
10000,58.248345,48.616173,52.638842
15000,39.412965,32.674162,35.944830
