FPS,Mode Share Equity,Travel Time Equity,Total System Travel Time,Composite score
3500,0.000000,0.000000,0.000000,0.000000
4500,0.316647,0.807310,0.344873,0.489610
5500,0.612443,0.873489,0.658683,0.714872
6500,0.780432,1.000000,0.833645,0.871359
7000,0.733674,0.856431,0.765064,0.785056
7500,1.000000,0.972971,1.000000,0.990990
8000,0.741523,0.864059,0.825037,0.810207
8500,0.949170,0.973072,0.953593,0.958612
9000,0.736129,0.871441,0.756269,0.787946
9500,0.900086,0.897004,0.925243,0.907444
10000,0.745079,0.771048,0.804266,0.773465
15000,0.808131,0.801276,0.908870,0.839426
