Policy Objective,Optimal FPS,allocation_key,mean,ci95_halfwidth
Mode Share Equity,7500,high_MaaS_Bundle,0.311497,0.058766
Mode Share Equity,7500,high_bike,0.296645,0.083291
Mode Share Equity,7500,high_car,0.294028,0.057030
Mode Share Equity,7500,high_public,0.489118,0.084961
Mode Share Equity,7500,low_MaaS_Bundle,0.297190,0.068759
Mode Share Equity,7500,low_bike,0.596349,0.053414
Mode Share Equity,7500,low_car,0.772299,0.010872
Mode Share Equity,7500,low_public,0.379457,0.052547
Mode Share Equity,7500,middle_MaaS_Bundle,0.176657,0.073289
Mode Share Equity,7500,middle_bike,0.580111,0.084897
Mode Share Equity,7500,middle_car,0.587453,0.062717
Mode Share Equity,7500,middle_public,0.498891,0.073316
Travel Time Equity,6500,high_MaaS_Bundle,0.301598,0.076208
Travel Time Equity,6500,high_bike,0.514663,0.087515
Travel Time Equity,6500,high_car,0.336078,0.081357
Travel Time Equity,6500,high_public,0.363538,0.084474
Travel Time Equity,6500,low_MaaS_Bundle,0.418351,0.085904
Travel Time Equity,6500,low_bike,0.534701,0.050426
Travel Time Equity,6500,low_car,0.745914,0.024793
Travel Time Equity,6500,low_public,0.500491,0.078735
Travel Time Equity,6500,middle_MaaS_Bundle,0.313635,0.105706
Travel Time Equity,6500,middle_bike,0.468148,0.078528
Travel Time Equity,6500,middle_car,0.374562,0.077939
Travel Time Equity,6500,middle_public,0.419311,0.060230
Total System Travel Time,7500,high_MaaS_Bundle,0.349028,0.092018
Total System Travel Time,7500,high_bike,0.484702,0.061371
Total System Travel Time,7500,high_car,0.277795,0.077294
Total System Travel Time,7500,high_public,0.612047,0.080530
Total System Travel Time,7500,low_MaaS_Bundle,0.565900,0.080666
Total System Travel Time,7500,low_bike,0.549138,0.048946
Total System Travel Time,7500,low_car,0.563744,0.051315
Total System Travel Time,7500,low_public,0.711463,0.046738
Total System Travel Time,7500,middle_MaaS_Bundle,0.609904,0.064467
Total System Travel Time,7500,middle_bike,0.457569,0.068741
Total System Travel Time,7500,middle_car,0.340199,0.078649
Total System Travel Time,7500,middle_public,0.545810,0.057272
