FPS,Composite score,Rank,Mode Share Equity normalized,Travel Time Equity normalized,Total System Travel Time normalized
7500,0.990990,1,1.000000,0.972971,1.000000
8500,0.958612,2,0.949170,0.973072,0.953593
9500,0.907444,3,0.900086,0.897004,0.925243
6500,0.871359,4,0.780432,1.000000,0.833645
15000,0.839426,5,0.808131,0.801276,0.908870
8000,0.810207,6,0.741523,0.864059,0.825037
9000,0.787946,7,0.736129,0.871441,0.756269
7000,0.785056,8,0.733674,0.856431,0.765064
10000,0.773465,9,0.745079,0.771048,0.804266
5500,0.714872,10,0.612443,0.873489,0.658683
4500,0.489610,11,0.316647,0.807310,0.344873
3500,0.000000,12,0.000000,0.000000,0.000000
